ASIN,Asset,Model,"Form Factor",CPU,Price,Added
B074SHYFV3,274485,"Latitude E6440",Notebook,"i5 4300M,4310M CPU @ 2.6GHz",226.49,"2019-09-04 21:59:08"
B074SHYFV3,274487,"Latitude E6440",Notebook,"i5 4300M,4310M CPU @ 2.6GHz",226.49,"2019-09-04 22:07:22"
B074SHYFV3,274488,"Latitude E6440",Notebook,"i5 4300M,4310M CPU @ 2.6GHz",226.49,"2019-09-04 22:05:41"
B074SHYFV3,274491,"Latitude E6440",Notebook,"i5 4300M,4310M CPU @ 2.6GHz",226.49,"2019-09-04 22:17:33"
B074SHYFV3,274492,"Latitude E6440",Notebook,"i5 4300M,4310M CPU @ 2.6GHz",226.49,"2019-09-04 22:02:01"
B07116R1GY,275404,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-06 15:17:58"
B07116R1GY,275433,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-06 15:16:12"
B07116R1GY,275437,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-04 21:38:18"
B07116R1GY,283060,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-09 17:11:01"
B01HSDJFFM,275698,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",145.00,"2019-09-06 18:01:56"
B01HSDJFFM,275754,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",145.00,"2019-09-06 18:08:03"
B01HSDJFFM,275755,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",145.00,"2019-09-06 18:05:49"
B01HSDJFFM,282214,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",145.00,"2019-09-06 18:45:56"
B01HSDJFFM,282216,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",145.00,"2019-09-06 22:02:30"
B01HSDJFFM,282219,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",145.00,"2019-09-06 18:18:00"
B01HSDJFFM,282221,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",145.00,"2019-09-06 18:51:57"
B01HSDJFFM,282222,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",145.00,"2019-09-06 18:23:24"
