ASIN,Asset,Model,"Form Factor",CPU,Price,Added
B01HSDJFFM,201897,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-12 16:15:21"
B01HSDJFFM,268374,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-09 20:22:14"
B01HSDJFFM,269412,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-12 15:23:25"
B01HSDJFFM,269415,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-12 15:06:49"
B01HSDJFFM,269469,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-12 15:20:25"
B01HSDJFFM,269471,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-12 15:35:44"
B01HSDJFFM,269474,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-12 15:30:27"
B01HSDJFFM,269475,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-12 15:42:00"
B07CTSFCRR,268370,"Optiplex 9020","Small Form Factor","i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-09 19:37:22"
B07CTSFCRR,268371,"Optiplex 9020","Small Form Factor","i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-09 19:42:36"
B07CTSFCRR,268375,"Optiplex 9020","Small Form Factor","i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-09 20:17:48"
B07CTSFCRR,269470,"Optiplex 9020","Small Form Factor","i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-12 15:01:01"
B07CTSFCRR,269472,"Optiplex 9020","Small Form Factor","i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-12 15:04:03"
