Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
169446,MJ04NM9H,,,Activated,"THINKCENTRE M700",i3-6100_3.7GHz,Lenovo,"2019-11-18 18:28:20"
520502,747XV52,,,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-18 18:41:29"
520593,D9B0W52,,,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-18 19:40:28"
520571,746XV52,,,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-18 20:23:43"
520640,73MZV52,,,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-18 20:45:43"
520640,73MZV52,,03307504798479,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:05:30"
520640,73MZV52,,03307504798479,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:06:20"
520571,746XV52,,03307504798478,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:07:23"
520572,73NZV52,,03307504798470,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:08:43"
520593,D9B0W52,,03307504798471,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:08:59"
520658,746YV52,,03307504798469,,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:15:10"
520502,747XV52,,03307504798472,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:16:09"
520542,73Q0W52,,03307504798468,,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:16:30"
520614,73PZV52,,03307504798473,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:17:12"
520616,73P0W52,,03307504798467,,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:18:55"
520528,D93XV52,,03307504798477,Activated,"OptiPlex 7020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:19:41"
295304,6TMRP22,00186255254613,03307504798460,,"OptiPlex 7010","i5-3470_3.2 GHz",Dell,"2019-11-19 17:20:26"
296744,DG68FX1,00186214937509,03307504798476,,"OptiPlex 7010","i5-3570_3.4 GHz",Dell,"2019-11-19 17:20:42"
294652,92DBCY1,00186233709771,03307504798461,,"OptiPlex 7010","i5-3475S_2.9 GHz",Dell,"2019-11-19 17:21:27"
291533,FCXNGX1,00196272452357,03307504798474,,"OptiPlex 7010","i5-3470_3.2 GHz",Dell,"2019-11-19 17:21:43"
291574,FG9PGX1,00196272452325,03307504798475,,"OptiPlex 7010","i5-3470_3.2 GHz",Dell,"2019-11-19 17:22:40"
294633,DVD67Y1,00186223992718,03307504798450,,"OptiPlex 7010","i5-3475S_2.9 GHz",Dell,"2019-11-19 17:23:29"
295321,66S0V12,00196287990586,03307504798462,,"OptiPlex 7010","i5-3470_3.2 GHz",Dell,"2019-11-19 17:23:41"
297297,FKHZX12,,03307504798459,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:24:07"
520550,FKV0Y12,00186252516940,03307504798458,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:25:52"
520654,F4D3W12,00186248577708,03307504798457,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:28:05"
520519,FKKZX12,,03307504798456,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:28:43"
520597,F4J4W12,00186248207534,03307504798455,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:29:32"
519905,8MVHB42,,03307504798454,,"OptiPlex 9020","i5-4590_3.2 GHz",Dell,"2019-11-19 17:30:48"
520529,F4L3W12,00186248577485,03307504798463,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:31:48"
520526,33R9M02,00186248770479,03307504798453,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:31:51"
520584,F4N2W12,00186248577453,03307504798464,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:32:11"
520518,FKP1Y12,,03307504798452,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:32:32"
520532,33W8M02,,03307504798451,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-19 17:34:43"
