ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B074SHYFV3,173035,"Latitude E6440",Notebook,3MP3J72,"i5 4300M,4310M CPU @ 2.6GHz",219.19,"2019-09-12 18:12:15"
B074SHYFV3,274482,"Latitude E6440",Notebook,CVMSK12,"i5 4300M,4310M CPU @ 2.6GHz",219.19,"2019-09-12 18:09:30"
B074SHYFV3,274492,"Latitude E6440",Notebook,3B44H72,"i5 4300M,4310M CPU @ 2.6GHz",219.19,"2019-09-10 21:09:01"
B01HSDJFFM,275698,"Optiplex 7010","Small Form Factor",92HBCY1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:17:58"
B01HSDJFFM,275703,"Optiplex 7010","Small Form Factor",H86QFX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:58:51"
B01HSDJFFM,275704,"Optiplex 7010","Small Form Factor",H8DSFX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 18:02:23"
B01HSDJFFM,275717,"Optiplex 7010","Small Form Factor",3GRHCY1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:25:22"
B01HSDJFFM,275718,"Optiplex 7010","Small Form Factor",217BBY1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:55:48"
B01HSDJFFM,275754,"Optiplex 7010","Small Form Factor",F3YHBZ1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:28:40"
B01HSDJFFM,275755,"Optiplex 7010","Small Form Factor",925DCY1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:48:02"
B01HSDJFFM,275924,"Optiplex 7010","Small Form Factor",929DCY1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 18:05:33"
B01HSDJFFM,282214,"Optiplex 7010","Small Form Factor",J8RM6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:23:11"
B01HSDJFFM,282219,"Optiplex 7010","Small Form Factor",3Y3GHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:21:44"
B01HSDJFFM,282221,"Optiplex 7010","Small Form Factor",J8PN6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:46:50"
B01HSDJFFM,282222,"Optiplex 7010","Small Form Factor",73F0WV1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:50:14"
B01HSDJFFM,282225,"Optiplex 7010","Small Form Factor",J8QK6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:16:03"
B01HSDJFFM,282233,"Optiplex 7010","Small Form Factor",73H2WV1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:43:52"
B01HSDJFFM,282234,"Optiplex 7010","Small Form Factor",40LHHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:18:52"
B01HSDJFFM,282238,"Optiplex 7010","Small Form Factor",3Y1JHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:50:25"
B01HSDJFFM,282240,"Optiplex 7010","Small Form Factor",8M31FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:18:05"
B01HSDJFFM,282241,"Optiplex 7010","Small Form Factor",J8PM6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:33:11"
B01HSDJFFM,282242,"Optiplex 7010","Small Form Factor",3YBFHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:26:25"
B01HSDJFFM,282244,"Optiplex 7010","Small Form Factor",J8PP6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:34:42"
B01HSDJFFM,282248,"Optiplex 7010","Small Form Factor",8LD1FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:30:49"
B01HSDJFFM,282251,"Optiplex 7010","Small Form Factor",8LZ0FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 17:40:10"
B01HSDJFFM,282262,"Optiplex 7010","Small Form Factor",8LF0FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",120.00,"2019-09-11 19:49:23"
