Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
519047,MXL3090BJV,00186200841612,03307504798869,,"Compaq Elite 8300 ","i5-3570_3.4 GHz",HP,"2019-11-22 14:07:05"
519043,MXL2311FYP,00186172654882,03307504798860,,"Compaq Elite 8300 ","i5-3570_3.4 GHz",HP,"2019-11-22 15:50:40"
519057,MXL2311FXN,00186172654867,03307504798924,,"Compaq Elite 8300 ","i5-3570_3.4 GHz",HP,"2019-11-22 15:58:18"
519044,MXL3271Y3F,00186210050506,03307504798923,,"Compaq Elite 8300 ","i5-3570_3.4 GHz",HP,"2019-11-22 16:18:10"
199779,PF02651H,,03307504798859,Activated,"THINKPAD T440",i5-4300U_1.9GHz,Lenovo,"2019-11-22 17:13:19"
527139,2UA307052F,,03307504798922,Activated,"Compaq Pro 6300 ","i3-3220_3.3 GHz",HP,"2019-11-22 17:28:29"
169445,MJ04NM9P,,03307504798881,Activated,"THINKCENTRE M700",i3-6100_3.7GHz,Lenovo,"2019-11-22 17:50:05"
518946,MJ03URT0,,03307504798882,Activated,"THINKCENTRE M700","i3-6100_3.7 GHz",Lenovo,"2019-11-22 17:55:14"
527141,2UA315127J,,03307504798868,Activated,"Compaq Pro 6300 ","i3-3220_3.3 GHz",HP,"2019-11-22 18:05:44"
527255,MJ04KE9X,,03307504798880,Activated,"THINKCENTRE M700","i3-6100_3.7 GHz",Lenovo,"2019-11-22 18:11:07"
294741,MJ02JXCJ,,03307504798861,Activated,,"i7-4770_3.4 GHz",Dell,"2019-11-22 18:32:48"
518967,MJ03UXB8,,03307504798917,Activated,"THINKCENTRE M700","i3-6100_3.7 GHz",Lenovo,"2019-11-22 18:35:43"
517411,2UA5511FXH,,03307504798916,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-22 18:47:05"
296264,2UA4270Q0Y,00039690432370,03307504798915,,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-22 18:58:41"
531202,BQHBC42,,03307504798888,Activated,"OptiPlex 9020","i7-4790_3.5 GHz",Dell,"2019-11-22 19:18:21"
