Asset,"Reported Issues",Added
282337,"CRACRED CASE  -  MISSING BACK  - MISSING DISPLAY CABLE - MISSING WIFI CARD","2019-10-21 18:40:08"
284526,"SCRATCH CASE","2019-10-21 18:41:10"
282349,"CRACRED CASE - SCREEN SCRATCH","2019-10-21 18:43:12"
283151,"Case Descolor ","2019-10-21 18:43:55"
287248,"cracked case severe","2019-10-21 18:44:08"
283151,"Case Discolor","2019-10-21 18:45:25"
284491,"CASE DENT","2019-10-21 18:47:16"
282333,"case cracked severe","2019-10-21 18:50:49"
284457,"SCRATCH CASE","2019-10-21 18:51:19"
283696,"DENT CASE - CRACRED CASE","2019-10-21 18:54:49"
284597,"DENT CASE - CRACRED CASE","2019-10-21 18:57:21"
282338,"cracked case severe","2019-10-21 19:00:07"
283127,"case discolore","2019-10-21 19:11:07"
283127,"case discolor","2019-10-21 19:13:14"
282329,"bad kayboard","2019-10-21 19:31:21"
282329,"bad keyboard","2019-10-21 19:33:18"
284592,"DENT CASE","2019-10-21 19:35:19"
282930,"case dent severe","2019-10-21 19:38:52"
282930,"case dent severe","2019-10-21 19:40:27"
275458,"BEN DIJO SI","2019-10-21 19:43:09"
284675,"TRATAR CON SKIN ","2019-10-21 20:09:28"
283047,"DENT CASE","2019-10-21 20:11:09"
275446,"CASE SCRATCH","2019-10-21 20:24:43"
291690,"case  scratch minor","2019-10-21 22:18:01"
283131,"case discolor ","2019-10-22 15:13:12"
274864,"VGA Display yellow tint","2019-10-22 15:47:19"
284554,"Screen Line","2019-10-22 16:03:00"
275411,"Pressure mark","2019-10-22 18:09:37"
283076,"dent screen","2019-10-22 20:03:43"
284526,"Screen lines, Bad battery","2019-10-22 21:53:45"
295209,"beep codes","2019-10-22 22:16:22"
507529,"Beep codes after BIOS update","2019-10-23 15:51:39"
283127,"pressure marks, case scratch","2019-10-23 18:05:20"
299449,"Bad battery, doesn't PXE boot","2019-10-23 21:57:41"
282987,"Pressure Mark","2019-10-24 20:38:58"
283143,"Pressure Mark","2019-10-24 20:39:53"
282990,Dead,"2019-10-24 21:23:20"
95587,"Pressure mark","2019-10-29 13:38:51"
95587,"Pressure mark","2019-10-29 13:39:07"
283181,"defective keyboard and bad webcam","2019-10-29 16:19:47"
512956,"bad touchpad","2019-10-29 17:24:17"
267671,"Broken battery","2019-10-29 19:55:32"
287291,"Damaged bezel, bad battery, dead keyboard","2019-10-30 21:27:16"
287291,"Bad battery, damaged bezel, dead keyboard","2019-10-30 21:27:42"
514973,"Deffective touchpad","2019-10-31 17:25:48"
296271,Dead,"2019-10-31 17:38:16"
296271,dead,"2019-10-31 17:38:32"
161756,"case dent","2019-11-01 14:52:42"
