Asset,"Reported Issues",Added
519703,"BAD KEYBOARD - SCRATCH INSIDE","2019-12-06 17:00:10"
519703,"BAD KEYBOARD - SCRATCH INSIDE","2019-12-06 17:00:20"
524577,"No display, pressure marks, work keys, unresponsive trackpad","2019-12-06 17:38:57"
277416,"Case chip","2019-12-06 17:40:37"
545311,"Doesn't read keyboard","2019-12-06 17:49:53"
538485,"CRACK CASE","2019-12-06 18:25:36"
538485,"CRACKED CASE","2019-12-06 18:26:20"
299484,"MISSING NAME MISSING BATTERY ...... RANDY DIJO QUE SE PODIA ARREGLAR","2019-12-06 18:29:12"
507672,"dent case severe ","2019-12-06 18:40:18"
507669,"tratar skin en la cara","2019-12-06 18:42:42"
274864,"scrach case severe","2019-12-06 18:52:07"
295209,"beep codes","2019-12-06 18:57:53"
297091,"won`t boot, bad face","2019-12-06 19:16:19"
191696,"doesn`t post","2019-12-06 19:25:04"
507664,"BAD FACE","2019-12-06 19:34:35"
507619,"BAD FACE","2019-12-06 19:38:03"
545450,"case dent coner severe","2019-12-09 20:27:29"
545449,"case dent coner severe","2019-12-09 20:31:01"
545446,"Bad Keyboard","2019-12-09 20:41:00"
545446,"bad keybord","2019-12-09 20:41:35"
545436,"case dent severe","2019-12-09 21:04:09"
545273,"BAD TOUCH SCREEN","2019-12-09 21:08:15"
545456,"bad keyboard","2019-12-09 21:24:21"
545416,"case dent severe","2019-12-09 21:50:24"
545273,"bad touch screen","2019-12-09 22:16:22"
545420,"bad trackbad","2019-12-09 22:19:55"
545420,"bad track pad","2019-12-09 22:20:25"
545257,"rubber feet","2019-12-10 14:20:08"
545257,"rubber feet","2019-12-10 14:21:29"
545257,"case dent severe , rubber feet","2019-12-10 14:23:12"
545460,"bad track pad","2019-12-10 14:54:25"
545268,"case scratch minor","2019-12-10 14:56:01"
545287,"CASE DENT","2019-12-10 15:12:03"
545184,"cracked dent minor","2019-12-10 15:19:22"
545187,"dent case","2019-12-10 15:20:12"
545184,"cracked case minor","2019-12-10 15:20:31"
545442,"CD BURN","2019-12-10 15:27:21"
545270,"case dent coner minor","2019-12-10 15:36:43"
545270,"case dent coner severe","2019-12-10 15:38:15"
545327,"CASE DENT SEVERE","2019-12-10 15:39:14"
545330,"case dent coner minor","2019-12-10 15:41:33"
545271,"CASE DENT","2019-12-10 15:54:50"
545251,"case dent coner minor","2019-12-10 16:43:10"
545426,"case dent coner severe","2019-12-10 16:48:07"
545246,"case dent coner minor","2019-12-10 16:50:07"
545428,"case dent coner minor","2019-12-10 16:53:29"
545249,"bad track pad","2019-12-10 17:23:23"
545248,"case dent severe","2019-12-10 17:26:54"
545424,"case dent severe","2019-12-10 17:29:49"
288659,"Cracked Screen","2019-12-10 18:14:37"
545292,"case dent severe","2019-12-11 17:49:57"
545409,"case dent severe","2019-12-11 18:18:19"
545422,"cracked case severe","2019-12-11 19:57:04"
288859,"No Power","2019-12-12 17:09:13"
545283,"case dent severe ","2019-12-13 14:12:42"
552678,"NEED BATTERY","2019-12-13 18:12:31"
552665,"BAD BATTERY","2019-12-13 18:16:25"
552679,"NEED BATTERY","2019-12-13 18:20:47"
552677,"need battery ","2019-12-13 18:23:49"
518098,"BIOS Lock","2019-12-13 21:40:33"
518107,"Case crack","2019-12-13 21:41:56"
295746,"cracket case","2019-12-13 22:06:05"
283129,"Screen scratch minor","2019-12-13 22:08:57"
518097,"BIOS Lock","2019-12-13 22:15:04"
518115,"BIOS Lock","2019-12-16 14:21:52"
531174,"Case Dent Severe","2019-12-16 14:47:09"
520554,"Does not POST","2019-12-16 19:10:54"
296348,"Case dent and scratch severe","2019-12-16 19:17:54"
296742,"No display","2019-12-16 19:23:41"
297295,"No display","2019-12-16 20:18:45"
92808,"Bad Trackpad","2019-12-16 20:25:29"
531180,"Pressure mark, damaged bezel","2019-12-16 21:03:40"
519790,"Case dent severe","2019-12-16 21:05:42"
519814,"Case Dent Severe","2019-12-16 21:11:44"
295290,"Case dent severe, missing face","2019-12-17 16:15:07"
296332,"Case Dent severe","2019-12-17 21:41:34"
282933,"Case crack","2019-12-17 21:58:34"
284672,"case scratch severe, broken keyboard","2019-12-17 22:00:01"
519697,"Worn keys","2019-12-17 22:01:42"
299740,"Worn keys","2019-12-17 22:02:28"
200167,"Case scratch minor, worn keys","2019-12-17 22:04:37"
297774,"bad case","2019-12-18 18:13:53"
297774,"bad case","2019-12-18 18:15:22"
296199,"bad case","2019-12-18 18:21:04"
297757,"bad case","2019-12-18 18:22:05"
297768,"bad case","2019-12-18 18:32:02"
507672,dent,"2019-12-18 18:45:47"
162609,"Cracked docking station port","2019-12-18 18:58:09"
535423,"Pressure mark","2019-12-18 19:49:27"
292169,"Missing logo","2019-12-18 19:52:29"
170469,"AMD Processor","2019-12-18 19:57:39"
296410,Dead,"2019-12-18 19:59:12"
284481,"i3 Processor","2019-12-18 20:01:13"
283677,"Case chip corner","2019-12-18 20:02:08"
295589,"BIOS Lock","2019-12-18 20:02:36"
161756,"Case dent bottom","2019-12-18 20:03:37"
283115,"Track pad mouse button scratch","2019-12-18 20:04:45"
284488,"Pressure mark, case crack","2019-12-18 20:49:50"
295593,"Bad trackpad","2019-12-18 20:57:17"
552691,"Case Scratch and Crack severe","2019-12-19 17:53:47"
547106,"pressure marks","2019-12-19 18:04:30"
296262,"BAD CASE","2019-12-19 18:36:58"
547035,"Pressure marks","2019-12-19 19:20:12"
547017,"Defective keyboard","2019-12-19 20:03:50"
512762,"scratch severe","2019-12-20 18:11:49"
518827,"scratch severe","2019-12-20 18:39:03"
542587,"MISSING BATTERY","2019-12-20 18:42:38"
536194,"CRACKET CASE SEVERE","2019-12-20 18:44:21"
542584,"MISSING BATERRY","2019-12-20 18:53:28"
546820,"bad keyboard","2019-12-20 19:00:01"
546819,"bad case","2019-12-20 19:36:53"
552720,"missing battery","2019-12-20 19:41:29"
552692,"missing battery","2019-12-20 19:45:23"
552663,"missing battery","2019-12-20 19:45:32"
552718,"need battery","2019-12-20 19:53:04"
552718,"case discolor","2019-12-20 19:55:17"
552692,"bad case","2019-12-20 19:56:07"
552720,"bad case","2019-12-20 19:57:07"
552704,"bad case","2019-12-20 19:59:01"
552696,"case dent severe","2019-12-20 20:03:21"
548154,"missing battery","2019-12-20 20:04:26"
552681,"case dente severe","2019-12-20 20:05:42"
546906,"missing battery","2019-12-20 20:11:31"
546901,"missing battery ","2019-12-20 20:18:39"
552695,brocken,"2019-12-20 20:19:17"
552673,"case sent minor","2019-12-20 20:19:53"
546910,"cracked inside ","2019-12-20 20:23:41"
547884,"CHANCE BATTERY","2019-12-20 20:25:21"
547065,"missing battery","2019-12-20 20:25:36"
547884,"CHANGE BATTERY","2019-12-20 20:25:55"
547024,"missing battery","2019-12-20 20:28:36"
547067,"CRACKED INSIDE","2019-12-20 20:28:53"
547065,"pressure mark","2019-12-24 14:38:46"
547054,"pressure mark","2019-12-24 14:39:07"
546910,"case crack","2019-12-24 14:41:05"
546765,"Pressure marks","2019-12-24 16:44:41"
552667,"pressure mark","2019-12-24 18:18:04"
543159,"Missing SATA Power cable","2019-12-24 18:56:06"
546901,"bad inside ","2019-12-26 20:32:09"
546902,"worn keys","2019-12-26 20:33:07"
546914,"Work Keys","2019-12-26 20:36:32"
546906,"Worn Keys","2019-12-26 20:36:48"
547024,"bad inside","2019-12-26 20:46:20"
546901,"bad inside","2019-12-26 21:22:46"
536200,"Pressure mark","2019-12-27 16:09:22"
552709,"Freezes on update","2019-12-27 16:35:40"
291534,"Failed VRAM Diagnostic","2019-12-30 17:50:09"
507644,"Defective Ethernet","2019-12-30 18:06:19"
283592,"case scratch severe","2019-12-30 19:18:45"
283514,"case scratch severe","2019-12-30 19:23:40"
283553,"case scrath severe","2019-12-30 19:53:38"
283561,"screen rubber","2019-12-30 19:59:11"
283558,"case scratch severe","2019-12-30 20:11:15"
283540,"case scratch severe","2019-12-30 20:21:03"
519812,"scratch severe","2019-12-30 20:24:58"
538400,"NEED BATTERY","2019-12-30 20:29:18"
283586,"screen rubber","2019-12-30 20:31:23"
531177,"NEED BATTERY","2019-12-30 20:32:20"
531176,"NEED BATTERY","2019-12-30 20:35:42"
538402,"bad battery","2019-12-30 20:39:02"
531185,"NEED BATTERY","2019-12-30 20:41:57"
538647,"need battery","2019-12-30 20:45:45"
538647,"need battery","2019-12-30 20:46:50"
538407,"case scratch minor","2019-12-30 20:50:26"
538498,"BROKEN INSIDE","2019-12-30 20:51:22"
538467,"case scratch minor","2019-12-30 20:54:48"
283491,"BAD KEYBOARD","2019-12-30 21:11:12"
538668,"BROKEN INSIDE","2019-12-30 21:18:14"
538663,"BROKEN INSIDE","2019-12-30 21:24:57"
538652,"BROKEN INSIDE","2019-12-30 21:26:38"
518815,"Case Crack","2019-12-30 21:58:28"
524681,"screen scratch ","2019-12-31 14:13:56"
538500,"screen scratch","2019-12-31 14:17:19"
538465,"BROKEN IN SIDE ","2019-12-31 14:19:38"
518830,"Pressure Mark","2019-12-31 14:24:53"
512685,"Case dent corner","2019-12-31 14:29:22"
538457,"SCREEN SCRACTH","2019-12-31 14:47:19"
517712,"CASE SCRATCH SEVERE","2019-12-31 14:49:09"
295577,"CRACKED CASE","2019-12-31 14:50:58"
538466,"DENT CASE ","2019-12-31 14:52:30"
283492,"CASE SCRATCH","2019-12-31 14:59:01"
538442,"SCREEN SCRATCH","2019-12-31 15:18:03"
283494,"CRACKED CASE","2019-12-31 15:48:02"
283597,"CRACKED CASE","2019-12-31 15:49:23"
519796,"CASE SCRACTH","2019-12-31 15:55:58"
538401,"DENT CASE","2019-12-31 15:57:18"
283572,"DENT CASE","2019-12-31 15:58:34"
295877,"BROKEN IN SIDE","2019-12-31 16:18:27"
547371,"BAD FACE","2019-12-31 18:16:53"
547366,"BAD FACE","2019-12-31 18:21:41"
547375,"BAD FACE","2019-12-31 18:36:41"
547280,"BAD FACE","2019-12-31 18:38:19"
275739,"damaged case release","2019-12-31 18:46:05"
275706,"case dent severe","2019-12-31 18:51:38"
275710,"face damaged","2019-12-31 18:55:01"
275177,"face damaged and case dent severe","2019-12-31 18:57:37"
266951,"BAD FACE, AND BAD CASE","2019-12-31 19:03:17"
275758,"cracked case  seavere","2019-12-31 19:04:05"
267004,"BAD FACE","2019-12-31 19:05:15"
268370,"BAD FACE","2019-12-31 19:07:17"
516569,"cracked face","2019-12-31 19:09:04"
282231,"BAD FACE","2019-12-31 19:09:19"
267049,"BAD FACE","2019-12-31 19:13:27"
267160,"missing face","2019-12-31 19:14:50"
203680,"BAD FACE","2019-12-31 19:15:23"
274862,"BAD FACE","2019-12-31 19:24:26"
274862,"BAD FACE","2019-12-31 19:24:43"
185795,"BAD FACE","2019-12-31 19:27:38"
274853,"case scratch severe","2019-12-31 19:29:25"
185810,"bad face","2019-12-31 19:30:21"
274856,"bad face","2019-12-31 19:31:24"
267226,"case damaged severe","2019-12-31 19:37:41"
282252,"bad face","2020-01-02 14:20:44"
186276,"BAD FACE","2020-01-02 14:21:24"
266974,"bad face","2020-01-02 14:23:53"
186273,"DENT CASE","2020-01-02 14:34:34"
283621,"bad face","2020-01-02 14:35:30"
185061,"DENT CASE AND BAD FACE","2020-01-02 14:39:09"
274867,"case scratch severe","2020-01-02 14:39:59"
267117,"case scrastch severe","2020-01-02 14:43:09"
203707,"bad face","2020-01-02 14:46:34"
267036,"bad face","2020-01-02 14:48:59"
283419,"bad face","2020-01-02 14:51:18"
186274,"POWER BUTTON DEAD","2020-01-02 14:51:35"
288805,"Ghost touch","2020-01-02 14:52:24"
185092,"DENT CASE","2020-01-02 14:53:57"
273097,"DENT CASE","2020-01-02 15:01:20"
185070,"BAD FACE","2020-01-02 15:03:30"
282254,"bad face","2020-01-02 15:03:53"
185048,"DOES NOT POST","2020-01-02 15:05:42"
282291,"No display","2020-01-02 15:27:28"
296730,"Boot failure","2020-01-02 18:09:34"
296834,"Boot failure","2020-01-02 18:24:10"
518805,"DENT CASE SEVERE ","2020-01-02 19:58:29"
538647,"Case Crack","2020-01-02 21:01:20"
538502,"pressure mark","2020-01-02 21:23:46"
538498,"Case cracked","2020-01-02 21:35:12"
538398,"Missing key, pressure mark on screen","2020-01-02 22:09:31"
185091,"BAD CASE","2020-01-03 15:31:33"
538459,"Pressure mark, defective keyboard","2020-01-03 15:52:13"
538447,"Used for parts","2020-01-03 16:16:24"
538491,"BROKEN IN SIDE","2020-01-03 16:21:16"
538658,"one usb port is dead","2020-01-03 18:10:13"
538655,"pressure mark","2020-01-03 18:10:33"
538659,"pressure mark","2020-01-03 18:10:56"
299480,"bad screen and missing key","2020-01-03 20:12:04"
299480,"Screen scratch, missing key","2020-01-06 15:19:49"
565038,testdemo,"2020-02-06 22:43:55"
