ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01HSDJFFM,181130,"Optiplex 7010","Small Form Factor",580KCX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:56:52"
B01HSDJFFM,266946,"Optiplex 7010","Small Form Factor",HMM17Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:43:06"
B01HSDJFFM,266959,"Optiplex 7010","Small Form Factor",GGLD9Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:26:32"
B01HSDJFFM,266962,"Optiplex 7010","Small Form Factor",GGKD9Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:52:44"
B01HSDJFFM,266964,"Optiplex 7010","Small Form Factor",HMN17Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:36:17"
B01HSDJFFM,266975,"Optiplex 7010","Small Form Factor",HMJ37Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 21:10:35"
B01HSDJFFM,266979,"Optiplex 7010","Small Form Factor",GGKH9Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:47:50"
B01HSDJFFM,267015,"Optiplex 7010","Small Form Factor",GF9D9Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:40:51"
B01HSDJFFM,267086,"Optiplex 7010","Small Form Factor",HMQ37Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:48:49"
B01HSDJFFM,267092,"Optiplex 7010","Small Form Factor",GF8F9Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:32:51"
B01HSDJFFM,267110,"Optiplex 7010","Small Form Factor",HN057Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:56:44"
B01HSDJFFM,267153,"Optiplex 7010","Small Form Factor",HMV57Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:27:42"
B01HSDJFFM,267176,"Optiplex 7010","Small Form Factor",7H8P9Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:50:22"
B01HSDJFFM,268374,"Optiplex 7010","Small Form Factor",3ZDM7Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",150.00,"2019-08-21 20:44:54"
