ASIN,Asset,Model,"Form Factor",CPU,Price,Added
B01M293O5P,101971,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,101974,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,101985,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,111005,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,111703,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,111704,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,112687,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,112690,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,114967,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,118514,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,118518,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,118520,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,118522,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,131049,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,131051,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,41361,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,41412,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,68496,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,72944,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,72945,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,72994,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,72996,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,72998,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,73003,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,75375,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,75386,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,82593,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,82608,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,82614,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,84267,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,89679,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,89682,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,89683,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,89684,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,89687,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92475,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92477,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92478,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92531,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92554,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92557,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92732,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92799,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B01M293O5P,92800,"Latitude E6430",Notebook,"i5 3320M CPU @ 2.6GHz",205.99,"2019-06-19 14:50:56"
B00VKL0I96,104103,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,112689,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,112692,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,112780,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,122603,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,123788,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,130953,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,130954,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,141217,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,141269,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,141821,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,82607,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,82611,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,85122,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,87139,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89741,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89767,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89773,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89776,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89777,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89780,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89781,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89789,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89791,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89794,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89795,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89796,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,89797,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,92476,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,92482,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,92519,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,92780,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,92801,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,92805,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,92806,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,92807,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B00VKL0I96,96071,"Latitude E6420",Notebook,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-06-19 14:50:56"
B079P8759M,117111,"Latitude E6420",Notebook,"i7 2620M CPU @ <3.4GHz",234.90,"2019-06-19 14:50:56"
B079P8759M,118487,"Latitude E6420",Notebook,"i7 2620M CPU @ <3.4GHz",234.90,"2019-06-19 14:50:56"
B079P8759M,118499,"Latitude E6420",Notebook,"i7 2620M CPU @ <3.4GHz",234.90,"2019-06-19 14:50:56"
B079P8759M,118504,"Latitude E6420",Notebook,"i7 2620M CPU @ <3.4GHz",234.90,"2019-06-19 14:50:56"
B079P8759M,118507,"Latitude E6420",Notebook,"i7 2620M CPU @ <3.4GHz",234.90,"2019-06-19 14:50:56"
B079P8759M,118509,"Latitude E6420",Notebook,"i7 2620M CPU @ <3.4GHz",234.90,"2019-06-19 14:50:56"
B079P8759M,118510,"Latitude E6420",Notebook,"i7 2620M CPU @ <3.4GHz",234.90,"2019-06-19 14:50:56"
B0799HPMFT,127912,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127916,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127941,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127943,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127947,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127972,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127973,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127974,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127987,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127988,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127990,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127992,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,127996,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,128009,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,128021,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,128026,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,128034,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,128046,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,128048,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,128049,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
B0799HPMFT,128050,"Latitude E7440",Notebook,"i7 4600U CPU @ 3.3GHz",346.45,"2019-06-19 14:50:56"
