"Shipment ID",Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Added
21,282988,FWWXVZ1,00186130137256,03307504608420,,"Latitude E7240","i7 4600U CPU @2.1GHz","2019-10-17 15:50:28"
21,266964,HMN17Y1,00186223896637,03307504133366,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-10-17 15:45:00"
21,294840,5X42H02,00186242957327,03307504608309,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-10-17 15:42:58"
21,295325,5YNV7Y1,00196274590210,03307504608319,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-10-17 15:47:20"
21,295330,66V0V12,00196288140436,03307504608296,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-10-17 15:44:04"
21,162600,39SF5Q1,00186105049454,03307504608317,,"Latitude E6420","i5 2520M,2540M CPU @<2.5GHz","2019-10-17 19:36:56"
21,296189,2UA4270PX5,00039690432434,03307504608378,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 15:26:27"
21,296191,2UA4270V10,00039690433800,03307504608334,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 14:35:15"
21,296232,2UA4270Q2B,00039690432435,03307504608364,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 15:28:35"
21,296236,2UA4270PYN,00039690432316,03307504608367,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 14:51:51"
21,296243,2UA4270Q2K,00039690432388,03307504608376,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 14:38:25"
21,296259,2UA4270PX2,00039690432266,03307504608374,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 15:20:06"
21,296266,2UA4270Q30,00039690432382,03307504608335,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 14:31:57"
21,297723,2UA4270PXK,00039692312057,03307504608368,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 15:17:56"
21,297725,,,03307504608372,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 15:21:40"
21,297732,2UA4270PWG,00039690432406,03307504608381,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 15:24:34"
21,297761,,,03307504608363,,"EliteDesk 800 G1","i5 4570,4590 CPU @3.2GHz","2019-10-17 14:46:42"
21,183698,MJ059K5Y,,03307504608365,,"THINKCENTRE M700","i3 6100 CPU @3.7Ghz","2019-10-10 20:58:07"
21,291535,DN0R942,,03307504608356,"WIN8 Activated","Optiplex 7020","i5 4590,4690 CPU @3.3GHz","2019-10-10 20:40:35"
21,283957,2UA1280GYT,00186109045734,03307504608345,,"Compaq 8200 Elite","i5 2400,2500 CPU @3.4GHz","2019-10-10 19:42:22"
21,283976,2UA1281HCQ,00186109060179,03307504608347,,"Compaq 8200 Elite","i5 2400,2500 CPU @3.4GHz","2019-10-10 19:58:38"
21,283985,2UA1281HBB,00186109077998,03307504608343,,"Compaq 8200 Elite","i5 2400,2500 CPU @3.4GHz","2019-10-10 19:44:19"
21,284009,2UA1281HCP,00186109081961,03307504608348,,"Compaq 8200 Elite","i5 2400,2500 CPU @3.4GHz","2019-10-10 20:30:34"
