ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01LXCLDRI,131749,"Thinkpad T430",Notebook,PB4MP5A,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:26"
B01LXCLDRI,131934,"Thinkpad T430",Notebook,PB5RN04,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:09"
B01LXCLDRI,132513,"Thinkpad T430",Notebook,PBKT26F,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:00:34"
B01LXCLDRI,132514,"Thinkpad T430",Notebook,PB375E3,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:21"
B01LXCLDRI,132521,"Thinkpad T430",Notebook,PBF91T5,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:51"
B01LXCLDRI,132522,"Thinkpad T430",Notebook,PB5AP38,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:17"
B01LXCLDRI,132523,"Thinkpad T430",Notebook,PB5AP49,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:00:52"
B01LXCLDRI,132525,"Thinkpad T430",Notebook,PBKT26H,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:04"
B01LXCLDRI,132532,"Thinkpad T430",Notebook,PB5AP00,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:00"
B01LXCLDRI,132536,"Thinkpad T430",Notebook,PBDC81E,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:32"
B01LXCLDRI,132537,"Thinkpad T430",Notebook,PB8ENBH,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:29"
B01LXCLDRI,132538,"Thinkpad T430",Notebook,PB374W4,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:00:41"
B01LXCLDRI,132539,"Thinkpad T430",Notebook,PBA474C,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:36"
B01LXCLDRI,132543,"Thinkpad T430",Notebook,PBA474Z,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:45"
B01LXCLDRI,132545,"Thinkpad T430",Notebook,PBA470W,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:55"
B01LXCLDRI,132550,"Thinkpad T430",Notebook,PB0P7KF,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:40"
B01LXCLDRI,132553,"Thinkpad T430",Notebook,PB5AP18,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:06"
B01LXCLDRI,133001,"Thinkpad T430",Notebook,PB11M7E,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:01:01"
B01LXCLDRI,133028,"Thinkpad T430",Notebook,PBR872V,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:20"
B01LXCLDRI,133107,"Thinkpad T430",Notebook,PBA6N3V,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:24"
B01LXCLDRI,133149,"Thinkpad T430",Notebook,PBA7T4Z,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:32"
B01LXCLDRI,133177,"Thinkpad T430",Notebook,PBR872R,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:14"
B01LXCLDRI,133191,"Thinkpad T430",Notebook,PB11M7H,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.79,"2019-05-08 18:02:35"
B07116R1GY,53824,"Latitude E7240",Notebook,000000,"i7 4600U CPU @ 2.1GHz",369.99,"2019-05-08 17:59:54"
B07116R1GY,53840,"Latitude E7240",Notebook,000000,"i7 4600U CPU @ 2.1GHz",369.99,"2019-05-08 18:00:23"
B07116R1GY,53841,"Latitude E7240",Notebook,000000,"i7 4600U CPU @ 2.1GHz",369.99,"2019-05-08 18:00:14"
B07116R1GY,53845,"Latitude E7240",Notebook,000000,"i7 4600U CPU @ 2.1GHz",369.99,"2019-05-08 17:59:47"
B07116R1GY,95581,"Latitude E7240",Notebook,000000,"i7 4600U CPU @ 2.1GHz",369.99,"2019-05-08 18:00:27"
B07116R1GY,95587,"Latitude E7240",Notebook,000000,"i7 4600U CPU @ 2.1GHz",369.99,"2019-05-08 18:00:19"
B07116R1GY,95588,"Latitude E7240",Notebook,000000,"i7 4600U CPU @ 2.1GHz",369.99,"2019-05-08 17:59:41"
B07CTTW8HR,133469,"ThinkPad T440",Laptop,,"i5 4300U CPU @ 1.9GHz",289.99,"2019-05-09 21:30:44"
