"Shipment ID",Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Added
25,545359,039058354053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:14:36"
25,545361,026318161853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:07"
25,545362,040595561853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:42"
25,545363,026291161853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 22:13:57"
25,545364,048168164853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:57:53"
25,545366,032280654053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 14:58:06"
25,545367,034645663153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:01:35"
25,545369,029299464853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:29"
25,545371,013540163253,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:17:21"
25,545372,048206164853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:32"
25,545374,028385254053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:33:55"
25,545375,002348462753,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:37:24"
25,545378,073733561853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:16"
25,545385,031747654053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:40:56"
25,545386,037346554053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:37:53"
25,545387,058218461853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 14:55:24"
