Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
284452,5GWCS32,,03307504608239,Activated,,,,"2019-10-25 14:51:20"
284452,5GWCS32,,,Activated,,,,"2019-10-25 14:51:22"
295295,6TNVP22,00186255693138,03307504608242,,,,,"2019-10-25 15:43:06"
294630,C3NFM02,00186248633437,03307504608235,,,,,"2019-10-25 15:51:19"
295317,2Z4JW12,00196287955764,03307504608230,,,,,"2019-10-25 15:56:22"
283207,1WHPK12,,03307504608233,Activated,,,,"2019-10-25 16:00:04"
291577,9B7GN22,00186255839859,03307504608241,,,,,"2019-10-25 16:03:40"
291564,6TNSP22,00186255254702,03307504608231,,,,,"2019-10-25 17:07:26"
296771,D4F8HX1,00186217679939,03307504608234,,,,,"2019-10-25 17:09:05"
295317,2Z4JW12,00196287955764,03307504608230,,,,,"2019-10-25 17:25:34"
295303,2YZKW12,00196287955756,03307504608240,,,,,"2019-10-25 17:34:15"
295292,9B8GN22,00186255839942,03307504608232,,,,,"2019-10-25 17:41:20"
296727,DH68FX1,00186214649897,03307504608519,,,,,"2019-10-25 17:58:20"
296756,DGK8FX1,00186215228308,03307504608523,,,,,"2019-10-25 18:31:20"
297131,HM947Y1,00186223934829,03307504608520,,,,,"2019-10-25 18:43:22"
296745,DHF8FX1,00186214715971,03307504608524,,,,,"2019-10-25 18:45:31"
297134,HMS47Y1,00186223896712,03307504608522,,,,,"2019-10-25 19:10:56"
297134,HMS47Y1,00186223896712,03307504608522,,,,,"2019-10-25 19:11:32"
297113,HM957Y1,00186223896635,03307504608521,,,,,"2019-10-25 19:41:03"
296756,DGK8FX1,00186215228308,03307504608523,,,,,"2019-10-25 19:47:58"
295299,2Z7HW12,00196287955752,03307504608528,,,,,"2019-10-25 20:01:08"
297116,GF7J9Y1,00186225300413,03307504608525,,,,,"2019-10-25 20:33:37"
297141,HMP27Y1,00186223896632,03307504608526,,,,,"2019-10-25 20:34:38"
295309,2Z4GW12,00196287955853,03307504608527,,,,,"2019-10-25 21:02:17"
297117,HMY37Y1,00186223934933,03307504608182,,,,,"2019-10-25 21:26:12"
297138,HM837Y1,00186223896659,03307504608177,,,,,"2019-10-25 22:08:11"
297115,HMG27Y1,00186223896702,03307504608508,,,,,"2019-10-28 13:02:24"
