Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
136004,R90L26CS,,03307504608486,Activated,"THINKPAD X1 CARBON 4TH GEN",i7-6600U_2.6GHz,Lenovo,"2019-11-01 13:29:22"
282959,921KM32,,03307504608480,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-01 13:31:18"
183751,PF029U5B,,03307504608259,Activated,"THINKPAD T440",i5-4300U_1.9GHz,Lenovo,"2019-11-01 13:51:51"
284519,7R23YY1,,03307504608485,Activated,"Latitude E7440","i5-4300U_1.9 GHz",Dell,"2019-11-01 14:08:26"
284595,F3JKL32,,03307504608484,Activated,"Latitude E7440",i5-4310U_2.00GHz,Dell,"2019-11-01 14:13:59"
283187,HNPBF72,,03307504608483,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-01 17:20:40"
284614,4X3RNX1,00188030730351,03307504608482,,"Latitude 6430U","i5-3437U_1.9 GHz",Dell,"2019-11-01 17:22:16"
268616,18X2V32,,03307504608481,Activated,"Latitude E7250","i5-5300U_2.3 GHz",Lenovo,"2019-11-01 18:01:44"
519700,PF01ANK3,,03307504608475,Activated,"THINKPAD T440","i5-4300U_1.9 GHz",Lenovo,"2019-11-01 20:04:03"
519691,PC0CBC4B,,03307504608476,Activated,"THINKPAD T460","i5-6300U_2.4 GHz",Lenovo,"2019-11-01 20:04:53"
507670,2UA4122JS8,,03307504608168,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 14:09:21"
507645,2UA4122DC8,,03307504608149,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 14:11:31"
507641,2UA6011CZN,,03307504608167,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 14:11:55"
507641,2UA6011CZN,,03307504608167,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 14:12:01"
296265,2UA4270Q1D,00039690432396,03307504608473,,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 14:21:52"
507634,2UA4122JQG,,03307504608474,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 14:34:32"
507610,2UA5511F78,,03307504608169,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 14:39:06"
507648,2UA5511F86,,03307504608155,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 14:40:50"
507656,2UA4381H84,,03307504608166,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 14:54:07"
507656,2UA4381H84,,03307504608166,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 14:54:14"
507666,MXL5130TRG,,03307504608158,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 15:02:16"
507607,2UA4191JDX,,03307504608176,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 15:03:42"
507648,2UA5511F86,,03307504608155,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 15:04:30"
507640,2UA4252MQH,,03307504608150,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 15:31:26"
507654,2UA4390TQ3,,03307504608156,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 15:32:37"
507615,2UA6011D2Z,,03307504608175,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 15:43:31"
507647,2UA5260Z05,,03307504608157,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 15:51:21"
507621,2UA40923QR,,03307504608154,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 16:05:18"
507636,2UA6011CZX,,03307504608165,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 16:57:12"
507662,2UA6011D46,,03307504608153,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 17:00:56"
507636,2UA6011CZX,,03307504608165,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 17:21:31"
514978,PC0DPG6B,,03307504608151,Activated,,i7-6600U_2.6GHz,Lenovo,"2019-11-04 17:24:16"
507623,2UA4122FFQ,,03307504608151,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 17:53:54"
507661,2UA6011D2G,,03307504608164,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 18:20:15"
507661,2UA6011D2G,,03307504608164,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 18:20:27"
507625,2UA6011CYV,,03307504608174,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 20:19:43"
507640,2UA4252MQH,,,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 20:22:59"
296184,2UA4270Q11,00039690432392,03307504608170,,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 20:23:44"
296184,2UA4270Q11,00039690432392,03307504608170,,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 20:23:47"
507620,2UA4252MQ8,,03307504608163,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 20:35:50"
507620,2UA4252MQ8,,03307504608163,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 20:36:03"
507630,2UA45026QT,,03307504608173,Activated,"EliteDesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 20:39:42"
507629,2UA5260YX1,,03307504608172,Activated,"Elitedesk 800 G1 ","i5-4590_3.2 GHz",HP,"2019-11-04 21:01:55"
507632,2UA4252MM7,,03307504608171,Activated,"EliteDesk 800 G1 ","i5-4570_3.2 GHz",HP,"2019-11-04 21:02:02"
282980,4V6GK72,,03307504608159,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-04 21:52:21"
