ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01LXCLDRI,197710,"Thinkpad T430",Notebook,PBZ0XCX,"i5 3230M,3210M,3320M CPU @ 3.3GHz",196.00,"2019-08-15 16:51:30"
B01LXCLDRI,197804,"Thinkpad T430",Notebook,PB9FAG5,"i5 3230M,3210M,3320M CPU @ 3.3GHz",196.00,"2019-08-15 16:54:29"
B01HSDJFFM,269412,"Optiplex 7010","Small Form Factor",H3ZZ6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-15 16:04:45"
B01HSDJFFM,269415,"Optiplex 7010","Small Form Factor",8DDV6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-15 16:06:43"
B01M293O5P,162564,"Latitude E6430",Notebook,B8PNJX1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:22:42"
B01M293O5P,162565,"Latitude E6430",Notebook,G95S8W1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:25:14"
B01M293O5P,162566,"Latitude E6430",Notebook,F3GWRY1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:17:16"
B01M293O5P,162601,"Latitude E6430",Notebook,92XQ9W1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:22:03"
B01M293O5P,162663,"Latitude E6430",Notebook,2GPHNX1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:05:45"
B01M293O5P,162672,"Latitude E6430",Notebook,7BKMFZ1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:10:36"
B01M293O5P,162675,"Latitude E6430",Notebook,JX4H9W1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:20:20"
B01M293O5P,162681,"Latitude E6430",Notebook,2BMFGV1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:03:11"
B01M293O5P,186348,"Latitude E6430",Notebook,92X7LX1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 16:58:09"
B01M293O5P,188403,"Latitude E6430",Notebook,6JJPXY1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:21:14"
B01M293O5P,188598,"Latitude E6430",Notebook,BLC3YY1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:31:03"
B01M293O5P,188719,"Latitude E6430",Notebook,HN08MX1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:02:22"
B01M293O5P,188723,"Latitude E6430",Notebook,5S22J02,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:14:22"
B01M293O5P,188726,"Latitude E6430",Notebook,HLS1LX1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:28:05"
B01M293O5P,188727,"Latitude E6430",Notebook,G8NPXY1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:12:48"
B01M293O5P,194785,"Latitude E6430",Notebook,9VMW8W1,"i5 3320M CPU @ 2.6GHz",215.87,"2019-08-15 17:24:07"
B07CTSFCRR,168937,"Optiplex 9020","Small Form Factor",BXZHV12,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 15:06:27"
B07CTSFCRR,203666,"Optiplex 9020","Small Form Factor",1Z04942,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 15:00:56"
B07CTSFCRR,203674,"Optiplex 9020","Small Form Factor",JYTJ942,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 15:03:45"
B07CTSFCRR,203711,"Optiplex 9020","Small Form Factor",1Z25942,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 15:04:27"
B07CTSFCRR,266941,"Optiplex 9020","Small Form Factor",DP13M02,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 15:00:04"
B07CTSFCRR,267011,"Optiplex 9020","Small Form Factor",5M74Y12,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 14:58:56"
B07CTSFCRR,267022,"Optiplex 9020","Small Form Factor",FL70Y12,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 15:08:02"
B07CTSFCRR,267024,"Optiplex 9020","Small Form Factor",1J67W12,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 14:56:51"
B07CTSFCRR,267045,"Optiplex 9020","Small Form Factor",5M70Y12,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",225.79,"2019-08-15 14:58:04"
B07CTTW8HR,197986,"ThinkPad T440",Notebook,PC009WUP,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:13:09"
B07CTTW8HR,197998,"ThinkPad T440",Notebook,PC01J9G1,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:19:32"
B07CTTW8HR,198888,"ThinkPad T440",Notebook,PC01U2CZ,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:16:58"
B07CTTW8HR,198890,"ThinkPad T440",Notebook,PC01J78P,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:24:24"
B07CTTW8HR,198931,"ThinkPad T440",Notebook,PF02XA1Q,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:22:32"
B07CTTW8HR,199419,"ThinkPad T440",Notebook,PC0067LT,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:12:21"
B07CTTW8HR,199475,"ThinkPad T440",Notebook,PC009WW9,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:15:22"
B07CTTW8HR,199487,"ThinkPad T440",Notebook,PC01J7BB,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:10:07"
B07CTTW8HR,199492,"ThinkPad T440",Notebook,PC00LZB5,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:20:16"
B07CTTW8HR,199743,"ThinkPad T440",Notebook,PC00LZB3,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:21:35"
B07CTTW8HR,199772,"ThinkPad T440",Notebook,PC0067RJ,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:17:59"
B07CTTW8HR,199782,"ThinkPad T440",Notebook,PC01J791,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:25:00"
B07CTTW8HR,199797,"ThinkPad T440",Notebook,PF029QCT,"i5 4300U CPU @ 1.9GHz",279.99,"2019-08-15 18:14:37"
B073WVRDJT,198930,"ThinkPad T440",Notebook,PC009WWJ,"i5 4300U CPU @ 1.9GHz",214.99,"2019-08-15 17:55:53"
B073WVRDJT,198933,"ThinkPad T440",Notebook,PC01U1NS,"i5 4300U CPU @ 1.9GHz",214.99,"2019-08-15 17:48:31"
B073WVRDJT,199442,"ThinkPad T440",Notebook,PF0264VS,"i5 4300U CPU @ 1.9GHz",214.99,"2019-08-15 17:46:34"
B073WVRDJT,199453,"ThinkPad T440",Notebook,PC01J78A,"i5 4300U CPU @ 1.9GHz",214.99,"2019-08-15 17:51:30"
B073WVRDJT,199741,"ThinkPad T440",Notebook,PC01U2C3,"i5 4300U CPU @ 1.9GHz",214.99,"2019-08-15 17:49:31"
B073WVRDJT,199744,"ThinkPad T440",Notebook,PF029PD1,"i5 4300U CPU @ 1.9GHz",214.99,"2019-08-15 17:50:27"
B073WVRDJT,199767,"ThinkPad T440",Notebook,PC009WT1,"i5 4300U CPU @ 1.9GHz",214.99,"2019-08-15 17:54:35"
B073WVRDJT,199834,"ThinkPad T440",Notebook,PC01U2ES,"i5 4300U CPU @ 1.9GHz",214.99,"2019-08-15 17:53:38"
