"Shipment ID",Asset,"Old COA","New COA",Added
19,284136,00039690433856,03307504183550,"2019-09-18 18:19:38"
19,284137,00039690433746,03307504183510,"2019-09-18 19:37:37"
19,284138,00039690433804,03307504183593,"2019-09-18 15:08:51"
19,284139,00039690432451,03307504183594,"2019-09-18 15:24:10"
19,284140,00039692312000,03307504183563,"2019-09-18 19:26:25"
19,284145,00039692312050,03307504183597,"2019-09-18 14:25:24"
19,284146,00039692312039,03307504183541,"2019-09-18 18:21:22"
19,284147,00039692312082,03307504183535,"2019-09-18 19:47:01"
19,284148,00039690432446,03307504183587,"2019-09-18 14:17:19"
19,284152,00039690433753,03307504183589,"2019-09-18 14:20:27"
19,284153,00039692312064,03307504183571,"2019-09-18 18:30:45"
19,284154,00039690433760,03307504183569,"2019-09-18 18:58:28"
19,284155,00039690432904,03307504183578,"2019-09-18 18:38:29"
19,284157,00039690433769,03307504183586,"2019-09-18 14:36:55"
19,284158,00039692312040,03307504183548,"2019-09-18 18:23:50"
19,284159,00039690432488,03307504183575,"2019-09-18 18:42:04"
19,284161,00039690432484,03307504183592,"2019-09-18 14:40:03"
19,284162,00039690432478,03307504183613,"2019-09-18 19:22:05"
19,284163,00039690433793,03307504183566,"2019-09-18 19:27:56"
19,284164,00039690433756,03307504183554,"2019-09-18 18:48:50"
19,284173,00039690433795,03307504183606,"2019-09-18 18:36:53"
19,284177,00039690433754,03307504183585,"2019-09-18 15:00:31"
19,284178,00039692312043,03307504183538,"2019-09-18 16:30:07"
19,284181,00039692312059,03307504183577,"2019-09-18 14:27:02"
19,284183,00039690433774,03307504183568,"2019-09-18 19:23:31"
19,284185,00039692312092,03307504183616,"2019-09-18 15:44:59"
19,284186,00039690433748,03307504183531,"2019-09-18 17:34:23"
19,284188,00039690432480,03307504183590,"2019-09-18 15:26:03"
19,284189,00039690433749,03307504183579,"2019-09-18 18:40:30"
19,203715,"Windows 8",03307504183492,"2019-09-18 21:19:14"
19,284068,"Windows 8",03307504183509,"2019-09-18 21:12:16"
19,272300,,,"2019-09-18 22:13:27"
