ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01LXCLDRI,177881,"Thinkpad T430",Notebook,PBVA01T,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:06:38"
B01LXCLDRI,177941,"Thinkpad T430",Notebook,PBG838N,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:56:16"
B01LXCLDRI,177942,"Thinkpad T430",Notebook,PBG838T,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 15:05:32"
B01LXCLDRI,177947,"Thinkpad T430",Notebook,PB9F23V,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 17:00:16"
B01LXCLDRI,177948,"Thinkpad T430",Notebook,PBTZ63Z,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:07:54"
B01LXCLDRI,177977,"Thinkpad T430",Notebook,PB1DK2T,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:58:39"
B01LXCLDRI,177979,"Thinkpad T430",Notebook,PBTZ23W,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 17:21:07"
B01LXCLDRI,177986,"Thinkpad T430",Notebook,PB7L6YR,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 18:06:20"
B01LXCLDRI,177987,"Thinkpad T430",Notebook,PBVA00Z,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:03:48"
B01LXCLDRI,177988,"Thinkpad T430",Notebook,PBG838A,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 17:19:38"
B01LXCLDRI,177991,"Thinkpad T430",Notebook,PB7L6YW,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:01:14"
B01LXCLDRI,177992,"Thinkpad T430",Notebook,PB0P0MG,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:04:52"
B01LXCLDRI,177995,"Thinkpad T430",Notebook,PB7K9WY,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:02:44"
B01LXCLDRI,178092,"Thinkpad T430",Notebook,PBTZ59Z,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-11 16:57:47"
B01LXCLDRI,181212,"Thinkpad T430",Notebook,PB4ATBZ,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-08 17:57:17"
B01LXCLDRI,181218,"Thinkpad T430",Notebook,PBX12LV,"i5 3230M,3210M,3320M CPU @ 3.3GHz",197.50,"2019-07-08 17:49:03"
B01HSDJFFM,117939,"Optiplex 7010","Small Form Factor",B3PCX12,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-08 16:16:26"
B01HSDJFFM,185734,"Optiplex 7010","Small Form Factor",H4QX6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-08 18:25:07"
B01HSDJFFM,186122,"Optiplex 7010","Small Form Factor",H4LY6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-08 18:23:08"
B01HSDJFFM,187779,"Optiplex 7010","Small Form Factor",7VZ1FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-11 20:40:43"
B01HSDJFFM,188289,"Optiplex 7010","Small Form Factor",40QHHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-11 20:48:05"
B01HSDJFFM,188291,"Optiplex 7010","Small Form Factor",48YL6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-11 20:48:19"
B01HSDJFFM,188292,"Optiplex 7010","Small Form Factor",6XJR9Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-11 20:42:59"
B01HSDJFFM,188294,"Optiplex 7010","Small Form Factor",48ZM6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-11 20:55:20"
B01HSDJFFM,188296,"Optiplex 7010","Small Form Factor",40TGHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-11 20:47:52"
B01HSDJFFM,188580,"Optiplex 7010","Small Form Factor",6BS1QW1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-07-11 20:48:39"
B01M293O5P,172830,"Latitude E6430",Notebook,BJHJ8W1,"i5 3320M CPU @ 2.6GHz",215.98,"2019-07-08 17:36:26"
B01M293O5P,177933,"Latitude E6430",Notebook,1L8M3X1,"i5 3320M CPU @ 2.6GHz",215.98,"2019-07-08 17:25:02"
B01M293O5P,177939,"Latitude E6430",Notebook,5B4M3X1,"i5 3320M CPU @ 2.6GHz",215.98,"2019-07-08 17:22:42"
B01M293O5P,181193,"Latitude E6430",Notebook,HK8W3X1,"i5 3320M CPU @ 2.6GHz",215.98,"2019-07-08 17:23:54"
B01M293O5P,181195,"Latitude E6430",Notebook,BFL3TY1,"i5 3320M CPU @ 2.6GHz",215.98,"2019-07-08 17:19:25"
B01M293O5P,181198,"Latitude E6430",Notebook,CJLCRY1,"i5 3320M CPU @ 2.6GHz",215.98,"2019-07-08 17:28:40"
