"Shipment ID",Asset,"Old COA","New COA",Added
20,274414,00186225116483,03307504183369,"2019-10-03 16:56:40"
20,284728,00186189568689,03307504183381,"2019-10-03 16:55:05"
20,287232,00186188239472,03307504183371,"2019-10-03 16:50:32"
20,287251,00186189567428,03307504183356,"2019-10-03 16:53:31"
20,287288,00186199207413,03307504183359,"2019-10-03 16:54:22"
20,161915,,"WIN8 Activated","2019-10-03 14:25:54"
20,189096,,"WIN8 Activated","2019-10-01 18:07:37"
20,189102,,"WIN8 Activated","2019-10-01 18:11:53"
20,288643,,"WIN8 Activated","2019-10-01 19:16:34"
20,288648,,"WIN8 Activated","2019-10-01 18:34:13"
20,288662,,"WIN8 Activated","2019-10-01 18:51:37"
20,288670,,"WIN8 Activated","2019-10-01 17:28:04"
20,288671,,"WIN8 Activated","2019-10-01 19:11:52"
20,288672,,"WIN8 Activated","2019-10-01 18:15:32"
20,288673,,"WIN8 Activated","2019-10-01 18:16:54"
20,288674,,"WIN8 Activated","2019-10-01 19:09:46"
20,288676,,"WIN8 Activated","2019-10-01 18:36:20"
20,288695,,"WIN8 Activated","2019-10-01 17:12:53"
20,288722,,"WIN8 Activated","2019-10-01 18:40:58"
20,288726,,"WIN8 Activated","2019-10-01 18:44:04"
20,288727,,"WIN8 Activated","2019-10-01 18:55:24"
20,288728,,"WIN8 Activated","2019-10-01 18:46:40"
20,288742,,"WIN8 Activated","2019-10-01 19:05:06"
20,288746,,"WIN8 Activated","2019-10-01 19:00:46"
20,288751,,"WIN8 Activated","2019-10-01 18:38:01"
20,288754,,"WIN8 Activated","2019-10-01 18:52:48"
20,288761,,"WIN8 Activated","2019-10-01 19:03:44"
20,288762,,"WIN8 Activated","2019-10-01 19:18:35"
20,288764,,"WIN8 Activated","2019-10-01 17:18:56"
20,288765,,"WIN8 Activated","2019-10-01 17:40:22"
20,288766,,"WIN8 Activated","2019-10-01 17:34:47"
20,288767,,"WIN8 Activated","2019-10-01 17:59:06"
20,288770,,"WIN8 Activated","2019-10-01 17:15:47"
20,288771,,"WIN8 Activated","2019-10-01 17:32:33"
20,288777,,"WIN8 Activated","2019-10-01 18:30:27"
20,288778,,"WIN8 Activated","2019-10-01 18:56:49"
20,288779,,"WIN8 Activated","2019-10-01 17:52:53"
20,288780,,"WIN8 Activated","2019-10-01 18:59:17"
20,288781,,"WIN8 Activated","2019-10-01 19:08:21"
20,288786,,"WIN8 Activated","2019-10-01 17:29:39"
20,288797,,"WIN8 Activated","2019-10-01 17:31:12"
20,288801,,"WIN8 Activated","2019-10-01 18:50:20"
20,288815,,"WIN8 Activated","2019-10-01 18:29:26"
20,288825,,"WIN8 Activated","2019-10-01 17:14:14"
20,288827,,"WIN8 Activated","2019-10-01 17:26:33"
20,288828,,"WIN8 Activated","2019-10-01 17:44:25"
20,295729,,"WIN8 Activated","2019-10-03 14:19:23"
20,295730,,"WIN8 Activated","2019-10-03 14:16:43"
20,295734,,"WIN8 Activated","2019-10-03 14:27:00"
20,295737,,"WIN8 Activated","2019-10-03 14:22:36"
20,295742,,"WIN8 Activated","2019-10-03 14:20:20"
20,161875,,"WIN8 Activated","2019-10-02 18:00:06"
20,288640,,"WIN8 Activated","2019-10-02 18:40:11"
20,288641,,"WIN8 Activated","2019-10-02 18:25:48"
20,288644,,"WIN8 Activated","2019-10-02 17:20:39"
20,288647,,"WIN8 Activated","2019-10-01 20:45:27"
20,288649,,"WIN8 Activated","2019-10-02 17:04:29"
20,288650,,"WIN8 Activated","2019-10-02 18:36:03"
20,288651,,"WIN8 Activated","2019-10-02 17:02:21"
20,288652,,"WIN8 Activated","2019-10-02 17:17:47"
20,288653,,"WIN8 Activated","2019-10-02 17:12:16"
20,288656,,"WIN8 Activated","2019-10-02 18:08:09"
20,288659,,"WIN8 Activated","2019-10-02 19:08:39"
20,288677,,"WIN8 Activated","2019-10-02 18:02:51"
20,288680,,"WIN8 Activated","2019-10-02 18:15:28"
20,288685,,"WIN8 Activated","2019-10-01 21:17:02"
20,288689,,"WIN8 Activated","2019-10-02 18:20:21"
20,288690,,"WIN8 Activated","2019-10-02 18:09:34"
20,288699,,"WIN8 Activated","2019-10-02 18:05:36"
20,288700,,"WIN8 Activated","2019-10-02 17:54:29"
20,288701,,"WIN8 Activated","2019-10-02 18:06:59"
