Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
546821,4PV26R1,00186138722420,03307505299464,,"Latitude E6420","i5-2540M_2.6 GHz",Dell,"2019-12-27 14:09:14"
552717,1TS3VY1,00186226911777,03307505299456,,"Latitude E6430","i5-3340M_2.7 GHz",Dell,"2019-12-27 14:37:32"
546821,4PV26R1,00186138722420,03307505299464,,"Latitude E6420","i5-2540M_2.6 GHz",Dell,"2019-12-27 14:49:22"
552662,HRS3VY1,00186226911804,03307505299463,,"Latitude E6430","i5-3340M_2.7 GHz",Dell,"2019-12-27 14:50:17"
552662,HRS3VY1,00186226911804,03307505299463,,"Latitude E6430","i5-3340M_2.7 GHz",Dell,"2019-12-27 14:51:34"
546840,H9QZ9W1,00186191146188,03307505299450,,"Latitude E6430","i5-3210M_2.5 GHz",Dell,"2019-12-27 14:53:43"
552690,3RS3VY1,00186226911795,03307505299455,,"Latitude E6430","i5-3340M_2.7 GHz",Dell,"2019-12-27 15:01:54"
552664,4D6NBW1,00186202695387,03307505299454,,"Latitude E6430","i5-3320M_2.6 GHz",Dell,"2019-12-27 15:23:37"
552666,D4W3VY1,00186226911918,03307505299453,,"Latitude E6430","i5-3340M_2.7 GHz",Dell,"2019-12-27 15:27:57"
552666,D4W3VY1,00186226911918,03307505299453,,"Latitude E6430","i5-3340M_2.7 GHz",Dell,"2019-12-27 15:28:12"
552712,8T24VY1,00186234851112,03307505299452,,"Latitude E6430","i5-3340M_2.7 GHz",Dell,"2019-12-27 15:29:02"
545330,001333463757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-27 17:47:57"
545327,001151663757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-27 17:48:20"
545327,001151663757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-27 17:51:15"
542584,PB4CYMB,,03307505299451,Activated,"THINKPAD T430","i5-3320M_2.6 GHz",Lenovo,"2019-12-27 17:56:46"
545251,001737364757,,,Activated,"Surface Book","i5-6300U_2.4 GHz",Microsoft,"2019-12-27 18:00:13"
