"Shipment ID",Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Added
24,524954,PBA41NY,,03307504798876,"WIN8 Activated","Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-21 20:34:44"
24,524985,PBF1A35,,03307504798883,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-21 20:36:08"
24,525034,PBC6M1R,,03307504798893,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-21 20:33:30"
24,275716,92JDCY1,00186233709772,03307504798811,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-26 21:31:47"
24,291533,FCXNGX1,00196272452357,03307504798474,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:16:03"
24,291574,FG9PGX1,00196272452325,03307504798475,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:24:46"
24,294633,DVD67Y1,00186223992718,03307504798450,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:26:01"
24,294652,92DBCY1,00186233709771,03307504798461,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:21:26"
24,294797,2JXWDZ1,00186242897036,03307504798771,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-26 21:38:40"
24,294833,DVG47Y1,00186223992625,03307504608557,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:27:45"
24,295304,6TMRP22,00186255254613,03307504798460,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:14:45"
24,295321,66S0V12,00196287990586,03307504798462,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:30:22"
24,296744,DG68FX1,00186214937509,03307504798476,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:10:19"
24,296789,DFS7FX1,,03307504608566,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-19 19:29:05"
24,296322,1B4YZ12,00186252586575,03307504798751,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-26 21:23:56"
24,297297,FKHZX12,,03307504798459,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:31:35"
24,519782,9SFB182,00186266796741,03307504798871,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-25 21:59:13"
24,519905,8MVHB42,,03307504798454,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:39:19"
24,520512,33S9M02,00186248770529,03307504798488,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:58:56"
24,520518,FKP1Y12,,03307504798452,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:50:12"
24,520519,FKKZX12,,03307504798456,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:37:02"
24,520520,F4S2W12,00186248577452,03307504798872,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-25 21:55:53"
24,520522,F4V4W12,00186248577468,03307504798873,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-25 21:51:36"
24,520529,F4L3W12,00186248577485,03307504798463,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:43:48"
24,520532,33W8M02,,03307504798451,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:51:43"
24,520549,F4P2W12,00186251478724,03307504798453,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:47:21"
24,520550,FKV0Y12,00186252516940,03307504798458,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-19 20:32:55"
24,520555,FKP3Y12,00186252516933,03307504798874,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-11-25 21:50:04"
