Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
283317,F3WLM32,,03307504608624,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 17:17:22"
283134,2G97362,,03307504608611,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 17:43:45"
283170,GWLKQ32,,03307504608612,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 17:45:01"
283170,GWLKQ32,,03307504608612,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 18:11:16"
284677,4PTC562,,03307504608611,Activated,"Latitude E7450","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 18:16:52"
275462,26H7362,,03307504608600,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 18:20:50"
507428,5CG51603WW,,03307504608607,,"EliteBook 820 G1","i7-4600U_2.1 GHz",HP,"2019-11-08 18:23:30"
283171,CWGKQ32,,03307504608611,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 18:42:28"
275462,26H7362,,03307504608600,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 18:56:48"
162557,97BVS32,,03307504608606,Activated,"Latitude E7450",i5-5300U_2.3GHz,Dell,"2019-11-08 20:18:39"
161560,2UA252043Y,,03307504608601,Activated,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-08 20:29:45"
514198,PC0FU46M,,03307504608605,Activated,"THINKPAD T460","i5-6300U_2.4 GHz",Lenovo,"2019-11-08 20:46:12"
283011,HHQSM32,,03307504608604,Activated,"Latitude E7450","i7-5600U_2.6 GHz",Lenovo,"2019-11-08 21:36:36"
162330,2UA25102XN,,03307504608599,Activated,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 14:37:44"
191725,2UA3451RKS,00186233431090,03307504608580,,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 14:38:22"
162427,2UA32218C3,,03307504608584,Activated,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 14:50:05"
161560,2UA252043Y,,03307504608570,Activated,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 15:12:55"
192413,2UA3031WTC,,03307504608598,Activated,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 15:14:19"
295558,6J6HR32,,03307504608585,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-11 15:27:44"
181402,2UA3040J57,,03307504608571,Activated,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 15:41:21"
295558,6J6HR32,,03307504608585,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-11-11 15:48:35"
509014,MXL3150CCC,,03307504608590,Activated,"Compaq Pro 6300 ","i3-3220_3.3 GHz",HP,"2019-11-11 16:08:05"
191666,2UA3450SP0,00186226361908,03307504608586,,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 16:19:09"
191666,2UA3450SP0,00186226361908,03307504608586,,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 16:45:41"
509015,MXL3150C66,,03307504608572,Activated,"Compaq Pro 6300 ","i3-3220_3.3 GHz",HP,"2019-11-11 16:56:57"
191738,2UA33610WW,00186222126673,03307504608583,,"Compaq Pro 6300 ",i3-3220_3.3GHz,HP,"2019-11-11 16:58:09"
299486,R9YY0N5,,03307504608589,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-11 17:00:10"
299460,R9YWMFN,,03307504608582,,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-11 17:10:32"
299468,R9WNB9G,,03307504608597,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-11 17:30:41"
299504,R9WREE5,,03307504608587,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-11 17:40:25"
284533,GG8LK32,,03307504608588,Activated,"Latitude E7450","i5-5300U_2.3 GHz",Dell,"2019-11-11 17:41:35"
299469,PK0BB51,,03307504608579,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-11 17:48:48"
299469,PK0BB51,,03307504608579,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-11 17:49:36"
162552,FY01T32,,03307504608581,Activated,"Latitude E7450",i5-5300U_2.3GHz,Dell,"2019-11-11 17:50:13"
162552,FY01T32,,03307504608581,Activated,"Latitude E7450",i5-5300U_2.3GHz,Dell,"2019-11-11 17:50:23"
162557,97BVS32,,03307504608593,Activated,"Latitude E7450",i5-5300U_2.3GHz,Dell,"2019-11-11 18:04:17"
291553,47W5TZ1,,03307504608596,Activated,"Latitude E7240","i5-4300U_1.9 GHz",Lenovo,"2019-11-11 18:19:11"
291553,47W5TZ1,,03307504608596,Activated,"Latitude E7240","i5-4300U_1.9 GHz",Lenovo,"2019-11-11 18:20:35"
284612,HC3HL32,,03307504608578,Activated,"Latitude E7450","i5-5300U_2.3 GHz",Dell,"2019-11-11 18:20:55"
282989,JYYXVZ1,,03307504608592,Activated,"Latitude E7240","i7-4600U_2.1 GHz",Dell,"2019-11-11 18:31:39"
162680,3N7D262,,03307504608577,Activated,"Latitude E7450",i5-5300U_2.3GHz,Dell,"2019-11-11 18:33:55"
172993,HG577W1,00186193552475,03307504608591,,"Latitude E6430",i5-3320M_2.6GHz,Dell,"2019-11-11 19:04:41"
283156,H0P0M12,,03307504608573,Activated,"Latitude E7240","i7-4600U_2.1 GHz",Dell,"2019-11-11 19:39:49"
297119,1J06W12,00186251461535,03307504608594,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:00:55"
297098,1J57W12,00186251461880,03307504608539,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:01:43"
296770,9P00X12,00186248284265,03307504608549,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:03:47"
296770,9P00X12,00186248284265,03307504608549,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:03:50"
297098,1J57W12,00186251461880,03307504608539,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:23:23"
296770,9P00X12,00186248284265,03307504608549,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:23:29"
297119,1J06W12,00186251461535,03307504608594,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:29:42"
297291,FKR0Y12,00186252516872,03307504608595,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:35:22"
267037,FKQ0Y12,00186252516211,03307504608534,,"OptiPlex 9020",i5-4670_3.4GHz,Dell,"2019-11-12 14:43:00"
295509,JSMNP22,,03307504608618,Activated,"OptiPlex 9020","i7-4770_3.4 GHz",Dell,"2019-11-12 14:54:49"
296773,9P0ZW12,00186248284414,03307504608535,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 14:56:59"
297291,FKR0Y12,00186252516872,03307504608595,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 15:09:40"
297119,1J06W12,00186251461535,03307504608594,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 15:10:59"
297119,1J06W12,00186251461535,03307504608594,,"OptiPlex 9020","i5-4670_3.4 GHz",Dell,"2019-11-12 15:11:02"
274619,JPJSPV1,00186216777336,03307504608618,,"OptiPlex 3010","i3-3220_3.3 GHz",Dell,"2019-11-12 15:11:27"
274619,JPJSPV1,00186216777336,03307504608618,,"OptiPlex 3010","i3-3220_3.3 GHz",Dell,"2019-11-12 15:17:15"
274619,JPJSPV1,00186216777336,03307504608618,,"OptiPlex 3010","i3-3220_3.3 GHz",Dell,"2019-11-12 15:17:58"
284508,82CQYZ1,,,Activated,"Latitude E7240","i5-4300U_1.9 GHz",Lenovo,"2019-11-12 15:21:56"
284723,BP1F3R1,,03307504608420,,"Latitude E6420","i5-2520M_2.5 GHz",Dell,"2019-11-12 15:29:51"
299452,R9YY0ND,,03307504608536,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 16:01:06"
299472,R9WDAV6,,03307504608538,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 16:02:41"
522293,PC041BBU,,03307504608574,Activated,"THINKPAD T440","i5-4300U_1.9 GHz",Lenovo,"2019-11-12 16:24:30"
522293,PC041BBU,,03307504608574,Activated,"THINKPAD T440","i5-4300U_1.9 GHz",Lenovo,"2019-11-12 16:41:37"
299499,R9YWM9P,,03307504608537,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 16:46:51"
299443,R9VZ7ZE,,03307504608530,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 17:00:26"
299505,R9YY0M9,,03307504608531,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 17:11:59"
299651,PBEY45N,,03307504608532,,"THINKPAD T430","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 17:14:24"
299489,R9WNAY0,,03307504608545,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 17:31:37"
299446,R9YWMEL,,03307504608548,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 17:51:59"
299651,PBEY45N,,03307504608532,,"THINKPAD T430","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:04:31"
299437,R9T4R0E,,03307504608576,,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:06:16"
299494,R9WNB96,,03307504608547,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:08:05"
299444,PK0BB4D,,03307504608546,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:11:55"
299481,R9YGCM4,,03307504608560,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:31:13"
299437,R9T4R0E,,03307504608576,,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:32:53"
299477,R9WZK4D,,03307504608608,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:33:00"
299456,R9V0360,,03307504608533,,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:35:05"
299456,R9V0360,,03307504608533,,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:35:41"
299456,R9V0360,,03307504608533,,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:53:01"
299441,R9XC5DE,,03307504608575,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:54:52"
299478,R9TWRGV,,03307504608569,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 18:56:51"
299466,R9WZK51,,03307504608568,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 19:16:38"
299466,R9WZK51,,03307504608568,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 19:19:25"
299441,R9XC5DE,,03307504608575,Activated,"THINKPAD T430S","i5-3320M_2.6 GHz",Lenovo,"2019-11-12 19:55:03"
