"Shipment ID",Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Added
26,506578,PBN2TMG,,03307504798625,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-12-19 20:33:50"
26,287288,6TXGXW1,00186199207413,03307504798617,,"Latitude E6430","i5 3320M CPU @2.6GHz","2019-12-19 18:16:03"
26,552678,FSW3VY1,00186234851271,03307504798618,,"Latitude E6430","i5 3320M CPU @2.6GHz","2019-12-19 18:11:19"
26,552722,90T3VY1,,03307504798619,"WIN8 Activated","Latitude E6430","i5 3320M CPU @2.6GHz","2019-12-19 18:17:32"
26,296361,9P2YW12,00186248285522,03307504608614,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:42:44"
26,297081,1HX6W12,00186251099446,03307504798767,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 16:54:51"
26,297086,1J55W12,00186251619936,03307504798727,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:25:50"
26,297088,1J28W12,00186251619897,03307504798762,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 16:02:42"
26,297090,1J18W12,00186251461902,03307504798748,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:02:45"
26,297093,1J46W12,00186251461393,03307504798750,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 16:56:41"
26,297097,1J48W12,00186251461898,03307504798776,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:16:56"
26,297135,FKR4Y12,00186252516911,03307504798749,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 16:54:44"
26,297137,1J16W12,00186251461919,03307504798757,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 16:55:26"
26,297139,1J08W12,00186251619943,03307504798763,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:40:56"
26,297142,FKJYX12,00186252516896,03307504798754,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:26:15"
26,519899,213M082,00186257711508,03307504798862,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:44:51"
26,519902,1N56FZ1,00186239987095,03307504798858,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:54:01"
26,519903,H77HS22,00186250630913,03307504798854,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 16:54:42"
26,519904,,,,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:33:37"
26,519906,CVYMV52,00186263907228,03307504798949,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 16:55:15"
26,519907,214M082,00186257711354,03307504798856,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:17:41"
26,519909,J576Z12,00186252134330,03307504798932,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 16:55:29"
26,519910,9SGJ182,,03307504798845,,"Optiplex 9020","i5 4570,4590,4690,4670 CPU @3.2GHz","2019-12-18 15:34:13"
