Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
545356,073884561853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 22:00:07"
545344,022556154153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 22:07:40"
545305,055384362453,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 22:12:24"
545357,036937754153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 22:17:05"
545355,032234754053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 22:19:39"
545341,073890161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 14:14:35"
545341,073890161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 14:28:43"
545371,013540163253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 14:31:25"
545354,070689554153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 14:31:33"
545204,025278461853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 14:55:15"
545304,024927463253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:14:11"
545302,037959254153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:29:30"
545371,013540163253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:33:46"
545341,073890161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:34:08"
545359,039058354053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:35:02"
545359,039058354053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:35:07"
545237,022639654153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:35:26"
545410,037482454053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:36:03"
545410,037482454053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:36:11"
545338,057652361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:36:21"
545338,057652361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:36:33"
545230,015622563253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:36:54"
545297,028215354053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-11 15:48:03"
