ASIN,Asset,Model,"Form Factor",CPU,Price,Added
B01LXCLDRI,198868,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",196.00,"2019-07-31 20:18:32"
B01LXCLDRI,198964,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",196.00,"2019-07-31 20:17:37"
B01LXCLDRI,199205,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",196.00,"2019-07-31 20:17:03"
B01LXCLDRI,199486,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",196.00,"2019-08-01 14:55:54"
B01HSDJFFM,266946,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 16:57:06"
B01HSDJFFM,266971,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 14:59:56"
B01HSDJFFM,266975,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 15:04:39"
B01HSDJFFM,266978,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:02:57"
B01HSDJFFM,266979,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:00:37"
B01HSDJFFM,266981,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:11:58"
B01HSDJFFM,266983,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:16:49"
B01HSDJFFM,266985,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:15:45"
B01HSDJFFM,266988,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:05:44"
B01HSDJFFM,266990,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:06:59"
B01HSDJFFM,266991,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:08:48"
B01HSDJFFM,266993,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:10:12"
B01HSDJFFM,266998,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:14:13"
B01HSDJFFM,267006,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 16:58:30"
B01HSDJFFM,267019,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:52:20"
B01HSDJFFM,267021,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:09:02"
B01HSDJFFM,267025,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:07:44"
B01HSDJFFM,267026,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 16:59:16"
B01HSDJFFM,267033,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 15:02:12"
B01HSDJFFM,267041,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 17:00:08"
B01HSDJFFM,267083,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-07-31 21:05:27"
B01HSDJFFM,267086,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-07-31 21:09:38"
B01HSDJFFM,267092,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 14:31:00"
B01HSDJFFM,267098,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 14:30:05"
B01HSDJFFM,267105,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 14:32:45"
B01HSDJFFM,267110,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-08-01 14:31:53"
B01HSDJFFM,267140,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-07-31 21:11:37"
B01HSDJFFM,267141,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-07-31 21:06:50"
B01HSDJFFM,267153,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-07-31 21:08:55"
B01HSDJFFM,267160,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-07-31 21:10:53"
B01HSDJFFM,267169,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-07-31 21:07:29"
