Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
283211,739JM32,,03307504798731,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 15:58:36"
282932,33LKM32,,03307504798729,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 16:21:31"
284676,5FSYY52,,03307504798730,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 16:49:01"
284676,5FSYY52,,03307504798730,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 16:49:25"
273081,G00WDC2,,03307504798732,Activated,"Latitude E7250","i5-5300U_2.3 GHz",Lenovo,"2019-12-02 17:01:35"
282976,B8LKM32,,03307504798733,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 17:03:52"
273081,G00WDC2,,03307504798732,Activated,"Latitude E7250","i5-5300U_2.3 GHz",Lenovo,"2019-12-02 17:16:23"
273081,G00WDC2,,03307504798732,Activated,"Latitude E7250","i5-5300U_2.3 GHz",Lenovo,"2019-12-02 17:17:10"
283198,BJDKM32,,03307504798712,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 17:19:52"
273080,2F9VV32,,03307504798711,Activated,"Latitude E7250","i5-5300U_2.3 GHz",Lenovo,"2019-12-02 17:20:20"
295540,F60D462,,03307504798710,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 17:33:45"
283198,BJDKM32,,03307504798712,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 17:48:23"
282995,C3Y6362,,03307504798703,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 17:54:14"
295523,H8VPY52,,03307504798699,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 18:09:13"
282995,C3Y6362,,03307504798703,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 18:21:36"
273079,GFMFS32,,03307504798702,Activated,"Latitude E7250","i5-5300U_2.3 GHz",Lenovo,"2019-12-02 18:25:26"
295541,9S6M562,,03307504798694,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 18:31:56"
273079,GFMFS32,,03307504798702,Activated,"Latitude E7250","i5-5300U_2.3 GHz",Lenovo,"2019-12-02 18:46:30"
284682,27GB362,,03307504798698,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 18:46:36"
295557,FMB1762,,03307504798693,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 18:49:39"
282936,C29JM32,,03307504798695,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 19:14:01"
295746,590D462,,03307504798706,Activated,"Latitude E7250","i7-5600U_2.6 GHz",Lenovo,"2019-12-02 19:21:26"
