Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
297761,,00039692312048,03307504608363,,,,,"2019-10-11 14:14:55"
297761,,00039692312048,03307504608363,,,,,"2019-10-11 14:18:33"
297761,,00039692312048,03307504608363,,,,,"2019-10-11 14:18:43"
296179,2UA4270PXF,00039690432268,03307504608375,,,,,"2019-10-11 14:19:04"
284531,358YX52,,03307504608366,Activated,,,,"2019-10-11 14:27:23"
296236,2UA4270PYN,00039690432316,03307504608367,,,,,"2019-10-11 14:51:36"
284531,358YX52,,03307504608366,Activated,,,,"2019-10-11 14:51:39"
296236,2UA4270PYN,00039690432316,03307504608367,,,,,"2019-10-11 14:53:36"
284531,358YX52,,03307504608366,Activated,,,,"2019-10-11 15:05:28"
296232,2UA4270Q2B,00039690432435,03307504608364,,,,,"2019-10-11 15:13:27"
297723,2UA4270PXK,00039692312057,03307504608368,,,,,"2019-10-11 15:57:32"
296259,2UA4270PX2,00039690432266,03307504608374,,,,,"2019-10-11 16:00:16"
297725,,00039690432246,03307504608372,,,,,"2019-10-11 16:18:02"
297751,2UA228058Z,00186173838506,03307504608371,,,,,"2019-10-11 16:53:21"
296259,2UA4270PX2,00039690432266,03307504608374,,,,,"2019-10-11 16:59:38"
297756,2UA1280GX3,00186107773855,03307504608373,,,,,"2019-10-11 17:01:58"
297732,2UA4270PWG,00039690432406,03307504608381,,,,,"2019-10-11 17:27:35"
297729,2UA1280GXV,00186107773869,03307504608379,,,,,"2019-10-11 17:28:58"
296189,2UA4270PX5,00039690432434,03307504608378,,,,,"2019-10-11 17:35:19"
297732,2UA4270PWG,00039690432406,03307504608381,,,,,"2019-10-11 17:58:33"
297764,2UA1280GX9,00186107773875,03307504608377,,,,,"2019-10-11 18:01:37"
297730,2UA12720TP,00186107720077,03307504608379,,,,,"2019-10-11 18:13:06"
296243,2UA4270Q2K,00039690432388,03307504608376,,,,,"2019-10-11 18:26:06"
296271,2UA4270PW7,00039690432390,03307504608380,,,,,"2019-10-11 18:29:22"
296271,2UA4270PW7,00039690432390,03307504608380,,,,,"2019-10-11 18:29:39"
297757,2UA228057W,00186173838690,03307504608333,,,,,"2019-10-11 18:50:23"
296191,2UA4270V10,00039690433800,03307504608334,,,,,"2019-10-11 19:09:09"
296266,2UA4270Q30,00039690432382,03307504608335,,,,,"2019-10-11 19:42:58"
296271,2UA4270PW7,00039690432390,03307504608380,,,,,"2019-10-11 19:43:57"
294665,63J6K02,00186247563780,03307504608370,,,,,"2019-10-11 19:50:27"
295329,2Z6GW12,00196287917404,03307504608357,,,,,"2019-10-11 19:57:59"
294665,63J6K02,00186247563780,03307504608370,,,,,"2019-10-11 20:17:01"
295313,2Z3HW12,,03307504608140,,,,,"2019-10-11 20:19:41"
291549,FLVRGX1,00196276711889,03307504608146,,,,,"2019-10-11 20:30:46"
295298,2Z8FW12,,03307504608358,,,,,"2019-10-11 20:41:59"
294805,3B0QNW1,00186201223077,03307504608141,,,,,"2019-10-11 20:49:01"
294834,92GBCY1,00186233709743,03307504608147,,,,,"2019-10-11 20:57:19"
294636,219BBY1,00186226116633,03307504608142,,,,,"2019-10-11 21:08:11"
294650,3BJPNW1,00186200773635,03307504608148,,,,,"2019-10-11 21:19:59"
