ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01HSDJFFM,107079,"Optiplex 7010","Small Form Factor",000000,"i5 3470,3570,3550,3475S CPU @ 3.2GHz",160.00,"2019-05-10 21:57:27"
B07CTSFCRR,80052,"Optiplex 9020","Small Form Factor",000000,"i5 4570 CPU @ 3.2GHz",222.98,"2019-05-10 21:54:55"
B07HHCGJSY,103687,"ThinkPad T450S",Laptop,000000,"i5 5300U CPU @ 2.3GHz",310.20,"2019-05-13 16:01:13"
B077N73MKG,117400,"THINKCENTRE M700","Small Form Factor",MJ03URCN,"i3 6100 CPU @ 3.7Ghz",373.18,"2019-05-10 21:15:47"
B077N73MKG,117401,"THINKCENTRE M700","Small Form Factor",MJ03URBN,"i3 6100 CPU @ 3.7Ghz",373.18,"2019-05-10 21:17:57"
B077N73MKG,127661,"THINKCENTRE M700","Small Form Factor",MJ03UXCD,"i3 6100 CPU @ 3.7Ghz",373.18,"2019-05-10 21:17:09"
B077N73MKG,127687,"THINKCENTRE M700","Small Form Factor",MJ03UXC3,"i3 6100 CPU @ 3.7Ghz",373.18,"2019-05-10 21:27:49"
B077N73MKG,132962,"THINKCENTRE M700","Small Form Factor",MJ05EX74,"i3 6100 CPU @ 3.7Ghz",373.18,"2019-05-10 21:13:22"
B077N73MKG,132963,"THINKCENTRE M700","Small Form Factor",MJ03U9ZB,"i3 6100 CPU @ 3.7Ghz",373.18,"2019-05-10 21:20:18"
B01CV9G1BO,107053,"Compaq Elite 8300 ","Small Form Factor",000000,"i5 3570,3470 CPU @ 3.5GHz",172.89,"2019-05-15 20:48:11"
B01CV9G1BO,107216,"Compaq Elite 8300 ","Small Form Factor",000000,"i5 3570,3470 CPU @ 3.5GHz",172.89,"2019-05-15 20:52:09"
B01CV9G1BO,141121,"Compaq Elite 8300 ","Small Form Factor",2UA3220BJ0,"i5 3570,3470 CPU @ 3.5GHz",172.89,"2019-05-15 19:03:26"
B01CV9G1BO,141578,"Compaq Elite 8300 ","Small Form Factor",2UA241137D,"i5 3570,3470 CPU @ 3.5GHz",172.89,"2019-05-15 19:00:15"
B00W4AMWCI,139599,"Thinkpad T420",Notebook,PBLV757,"i5 2410M,2540M CPU @ 2.53GHz",189.69,"2019-05-13 15:11:19"
B00W4AMWCI,139604,"Thinkpad T420",Notebook,,"i5 2410M,2540M CPU @ 2.53GHz",189.69,"2019-05-13 15:15:21"
B00W4AMWCI,139606,"Thinkpad T420",Notebook,,"i5 2410M,2540M CPU @ 2.53GHz",189.69,"2019-05-13 15:13:04"
B00W4AMWCI,139625,"Thinkpad T420",Notebook,,"i5 2410M,2540M CPU @ 2.53GHz",189.69,"2019-05-13 15:08:22"
B0786HSGW7,141730,"ThinkCentre M91p","Small Form Factor",MJMAHHB,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 17:50:39"
B0786HSGW7,141732,"ThinkCentre M91p","Small Form Factor",MJKGDPC,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 15:35:15"
B0786HSGW7,141733,"ThinkCentre M91p","Small Form Factor",MJKWLPX,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 15:58:32"
B0786HSGW7,141734,"ThinkCentre M91p","Small Form Factor",MJKHLZA,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 17:56:15"
B0786HSGW7,141735,"ThinkCentre M91p","Small Form Factor",MJKWLWD,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 15:54:52"
B0786HSGW7,141736,"ThinkCentre M91p","Small Form Factor",MJHMEXE,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 15:26:54"
B0786HSGW7,141737,"ThinkCentre M91p","Small Form Factor",MJMDLWZ,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 14:40:47"
B0786HSGW7,141738,"ThinkCentre M91p","Small Form Factor",MJPBRZE,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 14:52:15"
B0786HSGW7,141740,"ThinkCentre M91p","Small Form Factor",MJKGDTE,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 17:59:20"
B0786HSGW7,141741,"ThinkCentre M91p","Small Form Factor",MJMAGNA,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 18:20:09"
B0786HSGW7,141742,"ThinkCentre M91p","Small Form Factor",MJKGDNM,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 15:57:02"
B0786HSGW7,141743,"ThinkCentre M91p","Small Form Factor",MJPBTAB,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 17:57:37"
B0786HSGW7,141744,"ThinkCentre M91p","Small Form Factor",MJPBRYC,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 17:46:33"
B0786HSGW7,141745,"ThinkCentre M91p","Small Form Factor",MJPBRVW,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 14:56:54"
B0786HSGW7,141746,"ThinkCentre M91p","Small Form Factor",MJMDLYR,"i7 2600 CPU @ 3.4GHz",258.92,"2019-05-16 15:42:59"
