ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B07116R1GY,282988,"Latitude E7240",Notebook,FWWXVZ1,"i7 4600U CPU @ 2.1GHz",380.00,"2019-10-17 15:50:28"
B01HSDJFFM,266964,"Optiplex 7010","Small Form Factor",HMN17Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",134.22,"2019-10-17 15:45:00"
B01HSDJFFM,294840,"Optiplex 7010","Small Form Factor",5X42H02,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",134.22,"2019-10-17 15:42:58"
B01HSDJFFM,295325,"Optiplex 7010","Small Form Factor",5YNV7Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",134.22,"2019-10-17 15:47:20"
B01HSDJFFM,295330,"Optiplex 7010","Small Form Factor",66V0V12,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",134.22,"2019-10-17 15:44:04"
B00VKL0I96,162600,"Latitude E6420",Notebook,39SF5Q1,"i5 2520M,2540M CPU @ <2.5GHz",185.49,"2019-10-17 19:36:56"
B074VF7XJX,296189,"EliteDesk 800 G1","Small Form Factor",2UA4270PX5,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 15:26:27"
B074VF7XJX,296191,"EliteDesk 800 G1","Small Form Factor",2UA4270V10,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 14:35:15"
B074VF7XJX,296232,"EliteDesk 800 G1","Small Form Factor",2UA4270Q2B,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 15:28:35"
B074VF7XJX,296236,"EliteDesk 800 G1","Small Form Factor",2UA4270PYN,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 14:51:51"
B074VF7XJX,296243,"EliteDesk 800 G1","Small Form Factor",2UA4270Q2K,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 14:38:25"
B074VF7XJX,296259,"EliteDesk 800 G1","Small Form Factor",2UA4270PX2,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 15:20:06"
B074VF7XJX,296266,"EliteDesk 800 G1","Small Form Factor",2UA4270Q30,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 14:31:57"
B074VF7XJX,297723,"EliteDesk 800 G1","Small Form Factor",2UA4270PXK,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 15:17:56"
B074VF7XJX,297725,"EliteDesk 800 G1","Small Form Factor",,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 15:21:40"
B074VF7XJX,297732,"EliteDesk 800 G1","Small Form Factor",2UA4270PWG,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 15:24:34"
B074VF7XJX,297761,"EliteDesk 800 G1","Small Form Factor",,"i5 4570,4590 CPU @ 3.2GHz",146.99,"2019-10-17 14:46:42"
B077N73MKG,183698,"THINKCENTRE M700","Small Form Factor",MJ059K5Y,"i3 6100 CPU @ 3.7Ghz",226.95,"2019-10-10 20:58:07"
B07CTT3LK2,291535,"Optiplex 7020","Small Form Factor",DN0R942,"i5 4590,4690 CPU @ 3.3GHz",173.05,"2019-10-10 20:40:35"
B01HSJ2O0Y,283957,"Compaq 8200 Elite","Small Form Factor",2UA1280GYT,"i5 2400,2500 CPU @ 3.4GHz",129.99,"2019-10-10 19:42:22"
B01HSJ2O0Y,283976,"Compaq 8200 Elite","Small Form Factor",2UA1281HCQ,"i5 2400,2500 CPU @ 3.4GHz",129.99,"2019-10-10 19:58:38"
