ASIN,Asset,Model,"Form Factor",CPU,Price,Added
B01LXCLDRI,291690,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.25,"2019-09-26 20:18:37"
B01LXCLDRI,292178,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.25,"2019-09-26 21:10:17"
B01LXCLDRI,292377,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.25,"2019-09-26 19:54:59"
B01LXCLDRI,292380,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.25,"2019-09-26 22:14:06"
B01LXCLDRI,292575,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.25,"2019-09-26 19:55:52"
B01LXCLDRI,292747,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.25,"2019-09-26 20:17:08"
B01LXCLDRI,293042,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.25,"2019-09-27 18:54:29"
B07116R1GY,284506,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-20 22:09:20"
B07116R1GY,287191,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-20 14:23:58"
B07116R1GY,287192,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-20 14:25:08"
B07116R1GY,287196,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-20 14:22:50"
B07116R1GY,287213,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-20 14:13:30"
B07116R1GY,287214,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-20 14:21:05"
B07116R1GY,287235,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-20 14:15:13"
B07116R1GY,287300,"Latitude E7240",Notebook,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-20 14:18:33"
