ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01HSDJFFM,171419,"Optiplex 7010","Small Form Factor",HV09DX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-24 15:55:14"
B01HSDJFFM,171531,"Optiplex 7010","Small Form Factor",88Y88Z1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-24 15:48:31"
B01HSDJFFM,181087,"Optiplex 7010","Small Form Factor",DN7JYV1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 19:52:12"
B01HSDJFFM,181117,"Optiplex 7010","Small Form Factor",414JHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:20:31"
B01HSDJFFM,181124,"Optiplex 7010","Small Form Factor",85JCFX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:15:34"
B01HSDJFFM,181128,"Optiplex 7010","Small Form Factor",41XGHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:10:20"
B01HSDJFFM,181130,"Optiplex 7010","Small Form Factor",580KCX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:23:08"
B01HSDJFFM,181133,"Optiplex 7010","Small Form Factor",85HDFX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:17:32"
B01HSDJFFM,181134,"Optiplex 7010","Small Form Factor",CN9GDX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:25:35"
B01HSDJFFM,181136,"Optiplex 7010","Small Form Factor",419JHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:19:19"
B01HSDJFFM,181139,"Optiplex 7010","Small Form Factor",CMSCDX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:13:34"
B01HSDJFFM,181141,"Optiplex 7010","Small Form Factor",41TGHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 19:56:33"
B01HSDJFFM,181150,"Optiplex 7010","Small Form Factor",CMWDDX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",140.00,"2019-06-26 16:24:05"
B073WVRDJT,169851,"ThinkPad T440",Notebook,PC01U2EH,"i5 4300U CPU @ 1.9GHz",219.94,"2019-06-25 17:46:35"
B073WVRDJT,170342,"ThinkPad T440",Notebook,PC02NP4Y,"i5 4300U CPU @ 1.9GHz",219.94,"2019-06-25 18:09:31"
B073WVRDJT,170348,"ThinkPad T440",Notebook,PC02NNK6,"i5 4300U CPU @ 1.9GHz",219.94,"2019-06-25 18:16:39"
B073WVRDJT,170358,"ThinkPad T440",Notebook,PC02NNJS,"i5 4300U CPU @ 1.9GHz",219.94,"2019-06-25 17:51:44"
B073WVRDJT,170362,"ThinkPad T440",Notebook,PC047ELW,"i5 4300U CPU @ 1.9GHz",219.94,"2019-06-25 17:43:25"
B073WVRDJT,170388,"ThinkPad T440",Notebook,PC02NP0L,"i5 4300U CPU @ 1.9GHz",219.94,"2019-06-25 18:11:52"
B073WVRDJT,170397,"ThinkPad T440",Notebook,PC047E75,"i5 4300U CPU @ 1.9GHz",219.94,"2019-06-25 17:57:59"
B073WVRDJT,170402,"ThinkPad T440",Notebook,PC02NNLQ,"i5 4300U CPU @ 1.9GHz",219.94,"2019-06-25 18:13:00"
