ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01LXCLDRI,524954,"Thinkpad T430",Notebook,PBA41NY,"i5 3230M,3210M,3320M CPU @ 3.3GHz",218.95,"2019-11-21 20:34:44"
B01LXCLDRI,524985,"Thinkpad T430",Notebook,PBF1A35,"i5 3230M,3210M,3320M CPU @ 3.3GHz",218.95,"2019-11-21 20:36:08"
B01LXCLDRI,525034,"Thinkpad T430",Notebook,PBC6M1R,"i5 3230M,3210M,3320M CPU @ 3.3GHz",218.95,"2019-11-21 20:33:30"
B01HSDJFFM,275716,"Optiplex 7010","Small Form Factor",92JDCY1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-26 21:31:47"
B01HSDJFFM,291533,"Optiplex 7010","Small Form Factor",FCXNGX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:16:03"
B01HSDJFFM,291574,"Optiplex 7010","Small Form Factor",FG9PGX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:24:46"
B01HSDJFFM,294633,"Optiplex 7010","Small Form Factor",DVD67Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:26:01"
B01HSDJFFM,294652,"Optiplex 7010","Small Form Factor",92DBCY1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:21:26"
B01HSDJFFM,294797,"Optiplex 7010","Small Form Factor",2JXWDZ1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-26 21:38:40"
B01HSDJFFM,294833,"Optiplex 7010","Small Form Factor",DVG47Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:27:45"
B01HSDJFFM,295304,"Optiplex 7010","Small Form Factor",6TMRP22,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:14:45"
B01HSDJFFM,295321,"Optiplex 7010","Small Form Factor",66S0V12,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:30:22"
B01HSDJFFM,296744,"Optiplex 7010","Small Form Factor",DG68FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:10:19"
B01HSDJFFM,296789,"Optiplex 7010","Small Form Factor",DFS7FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",141.99,"2019-11-19 19:29:05"
B07CTSFCRR,296322,"Optiplex 9020","Small Form Factor",1B4YZ12,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",219.90,"2019-11-26 21:23:56"
B07CTSFCRR,297297,"Optiplex 9020","Small Form Factor",FKHZX12,"i5 4570,4590,4690,4670 CPU @ 3.2GHz",219.90,"2019-11-19 20:31:35"
