ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B07116R1GY,282985,"Latitude E7240",Notebook,H6YXVZ1,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-19 17:37:13"
B07116R1GY,282991,"Latitude E7240",Notebook,49K0M12,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-19 17:27:49"
B07116R1GY,283020,"Latitude E7240",Notebook,93L0M12,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-19 17:33:32"
B07116R1GY,283049,"Latitude E7240",Notebook,JLJPK12,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-19 17:35:53"
B07116R1GY,283065,"Latitude E7240",Notebook,H4WBYZ1,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-19 17:28:58"
B07116R1GY,283184,"Latitude E7240",Notebook,25M0M12,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-19 17:32:02"
B07116R1GY,283185,"Latitude E7240",Notebook,6RL1XY1,"i7 4600U CPU @ 2.1GHz",329.99,"2019-09-19 17:30:30"
B01HSDJFFM,266998,"Optiplex 7010","Small Form Factor",HMY17Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:48:51"
B01HSDJFFM,267169,"Optiplex 7010","Small Form Factor",HMN57Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:27:14"
B01HSDJFFM,267859,"Optiplex 7010","Small Form Factor",518YNW1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:25:01"
B01HSDJFFM,282236,"Optiplex 7010","Small Form Factor",3Y4GHX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:30:30"
B01HSDJFFM,282239,"Optiplex 7010","Small Form Factor",8KT1FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:55:54"
B01HSDJFFM,282363,"Optiplex 7010","Small Form Factor",H4PZ6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:28:20"
B01HSDJFFM,284045,"Optiplex 7010","Small Form Factor",H42Y6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:51:59"
B01HSDJFFM,284066,"Optiplex 7010","Small Form Factor",8F3T6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:31:43"
B01HSDJFFM,284067,"Optiplex 7010","Small Form Factor",8DSV6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:44:36"
B01HSDJFFM,284069,"Optiplex 7010","Small Form Factor",H4JY6Y1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",139.90,"2019-09-18 20:41:00"
B01M293O5P,282324,"Latitude E6430",Notebook,FQTJRY1,"i5 3320M CPU @ 2.6GHz",247.00,"2019-09-19 17:12:25"
B01M293O5P,284659,"Latitude E6430",Notebook,FVVHLV1,"i5 3320M CPU @ 2.6GHz",247.00,"2019-09-19 17:11:06"
B00VKL0I96,274480,"Latitude E6420",Notebook,CKMZFV1,"i5 2520M,2540M CPU @ <2.5GHz",208.49,"2019-09-19 17:23:07"
B00VKL0I96,283015,"Latitude E6420",Notebook,GM1R1Q1,"i5 2520M,2540M CPU @ <2.5GHz",208.49,"2019-09-19 17:24:01"
B00VKL0I96,284679,"Latitude E6420",Notebook,2H1R1Q1,"i5 2520M,2540M CPU @ <2.5GHz",208.49,"2019-09-19 17:19:54"
