"Shipment ID",Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Added
23,275297,PBX12RY,,03307504608311,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-01 16:18:58"
23,286139,PB3NK5F,00186205044474,03307504608237,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-01 16:18:18"
23,292377,PB3NK2W,,03307504608193,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-13 17:15:08"
23,292380,PB4ATAY,,03307504608264,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-01 16:18:41"
23,299651,PBEY45N,,03307504608532,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-13 17:11:11"
23,299710,PBL0MNG,,03307504608603,,"Thinkpad T430","i5 3230M,3210M,3320M CPU @3.3GHz","2019-11-13 17:15:38"
23,188265,6FPVVV1,03307503982150,03307504608197,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-10-31 18:53:25"
23,291540,3LRDCZ1,00196287197740,03307504608602,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 19:16:30"
23,294661,2139BY1,00186226115140,03307504608552,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 19:05:54"
23,295322,6711V12,00196287990779,03307504608554,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 16:48:56"
23,296334,DJ17FX1,00186215316016,03307504608541,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 15:53:15"
23,296723,D369HX1,00186218088805,03307504608544,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 19:09:36"
23,296730,DFM8FX1,00186214937499,03307504608542,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 17:47:12"
23,296738,F5KTWV1,,03307504608540,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 19:10:48"
23,296740,DNFHYV1,00186193275975,03307504608609,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 19:17:41"
23,296750,DFP9FX1,,03307504608553,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 19:15:17"
23,296753,DHV8FX1,00186215228604,03307504608551,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 15:59:34"
23,296758,DFN8FX1,,03307504608556,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 17:50:28"
23,296816,DGD7FX1,00186214937446,03307504608555,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 17:52:04"
23,296833,DJG8FX1,,03307504608564,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 19:12:32"
23,296834,DG07FX1,00186214936049,03307504608558,,"Optiplex 7010","i5 3470,3570,3550,3475S,3570 CPU @3.2GHz","2019-11-14 16:02:45"
