ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01LXCLDRI,139613,"Thinkpad T430",Notebook,PBN36NN,"i5 3230M,3210M,3320M CPU @ 3.3GHz",199.00,"2019-07-02 21:14:27"
B01LXCLDRI,173153,"Thinkpad T430",Notebook,PBT8F2T,"i5 3230M,3210M,3320M CPU @ 3.3GHz",199.00,"2019-06-28 20:16:39"
B074SHYFV3,172819,"Latitude E6440",Notebook,5SV3J72,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 17:56:47"
B074SHYFV3,172821,"Latitude E6440",Notebook,J1BQK32,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:00:51"
B074SHYFV3,172828,"Latitude E6440",Notebook,HW1ZH72,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:34:31"
B074SHYFV3,172855,"Latitude E6440",Notebook,87WJQ32,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 17:59:01"
B074SHYFV3,172861,"Latitude E6440",Notebook,FWKSP12,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:06:46"
B074SHYFV3,172867,"Latitude E6440",Notebook,841DY52,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 17:59:46"
B074SHYFV3,172868,"Latitude E6440",Notebook,DFTBY52,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:23:51"
B074SHYFV3,172875,"Latitude E6440",Notebook,96KCPX1,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:49:15"
B074SHYFV3,172877,"Latitude E6440",Notebook,4DJSP12,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 17:55:33"
B074SHYFV3,172883,"Latitude E6440",Notebook,CXHSK12,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:37:59"
B074SHYFV3,172963,"Latitude E6440",Notebook,65KWTY1,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:47:47"
B074SHYFV3,172964,"Latitude E6440",Notebook,3VZ8TY1,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:09:25"
B074SHYFV3,172978,"Latitude E6440",Notebook,58FPJ12,"i5 4300M,4310M CPU @ 2.6GHz",189.39,"2019-06-28 18:50:06"
